loc,length,bug type,approach
184,10,Overflow-Underflow,code snippet injection
171,10,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
153,8,Overflow-Underflow,code snippet injection
140,10,Overflow-Underflow,code snippet injection
578,4,Overflow-Underflow,code snippet injection
564,8,Overflow-Underflow,code snippet injection
555,4,Overflow-Underflow,code snippet injection
541,8,Overflow-Underflow,code snippet injection
526,10,Overflow-Underflow,code snippet injection
517,4,Overflow-Underflow,code snippet injection
476,10,Overflow-Underflow,code snippet injection
463,4,Overflow-Underflow,code snippet injection
448,4,Overflow-Underflow,code snippet injection
434,4,Overflow-Underflow,code snippet injection
359,4,Overflow-Underflow,code snippet injection
347,4,Overflow-Underflow,code snippet injection
314,10,Overflow-Underflow,code snippet injection
298,4,Overflow-Underflow,code snippet injection
284,4,Overflow-Underflow,code snippet injection
265,8,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
226,4,Overflow-Underflow,code snippet injection
212,4,Overflow-Underflow,code snippet injection
127,10,Overflow-Underflow,code snippet injection
108,10,Overflow-Underflow,code snippet injection
97,8,Overflow-Underflow,code snippet injection
80,8,Overflow-Underflow,code snippet injection
69,8,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
55,4,Overflow-Underflow,code snippet injection
48,4,Overflow-Underflow,code snippet injection
35,10,Overflow-Underflow,code snippet injection
24,8,Overflow-Underflow,code snippet injection
17,4,Overflow-Underflow,code snippet injection
