loc,length,bug type,approach
78,10,Overflow-Underflow,code snippet injection
67,10,Overflow-Underflow,code snippet injection
214,4,Overflow-Underflow,code snippet injection
200,8,Overflow-Underflow,code snippet injection
187,10,Overflow-Underflow,code snippet injection
177,4,Overflow-Underflow,code snippet injection
166,8,Overflow-Underflow,code snippet injection
155,4,Overflow-Underflow,code snippet injection
141,8,Overflow-Underflow,code snippet injection
119,10,Overflow-Underflow,code snippet injection
112,4,Overflow-Underflow,code snippet injection
95,10,Overflow-Underflow,code snippet injection
22,4,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
46,4,Overflow-Underflow,code snippet injection
35,10,Overflow-Underflow,code snippet injection
30,4,Overflow-Underflow,code snippet injection
