loc,length,bug type,approach
147,10,Overflow-Underflow,code snippet injection
136,10,Overflow-Underflow,code snippet injection
23,4,Overflow-Underflow,code snippet injection
194,8,Overflow-Underflow,code snippet injection
177,10,Overflow-Underflow,code snippet injection
121,4,Overflow-Underflow,code snippet injection
104,8,Overflow-Underflow,code snippet injection
92,4,Overflow-Underflow,code snippet injection
72,8,Overflow-Underflow,code snippet injection
47,10,Overflow-Underflow,code snippet injection
36,4,Overflow-Underflow,code snippet injection
159,10,Overflow-Underflow,code snippet injection
17,4,Overflow-Underflow,code snippet injection
