loc,length,bug type,approach
135,10,Overflow-Underflow,code snippet injection
86,10,Overflow-Underflow,code snippet injection
81,4,Overflow-Underflow,code snippet injection
494,8,Overflow-Underflow,code snippet injection
476,10,Overflow-Underflow,code snippet injection
464,4,Overflow-Underflow,code snippet injection
443,8,Overflow-Underflow,code snippet injection
430,4,Overflow-Underflow,code snippet injection
400,8,Overflow-Underflow,code snippet injection
374,10,Overflow-Underflow,code snippet injection
355,4,Overflow-Underflow,code snippet injection
337,10,Overflow-Underflow,code snippet injection
325,4,Overflow-Underflow,code snippet injection
173,4,Overflow-Underflow,code snippet injection
163,4,Overflow-Underflow,code snippet injection
150,4,Overflow-Underflow,code snippet injection
107,4,Overflow-Underflow,code snippet injection
70,10,Overflow-Underflow,code snippet injection
65,4,Overflow-Underflow,code snippet injection
60,4,Overflow-Underflow,code snippet injection
51,8,Overflow-Underflow,code snippet injection
46,4,Overflow-Underflow,code snippet injection
41,4,Overflow-Underflow,code snippet injection
289,4,Overflow-Underflow,code snippet injection
278,10,Overflow-Underflow,code snippet injection
267,10,Overflow-Underflow,code snippet injection
258,8,Overflow-Underflow,code snippet injection
248,8,Overflow-Underflow,code snippet injection
239,8,Overflow-Underflow,code snippet injection
234,4,Overflow-Underflow,code snippet injection
228,4,Overflow-Underflow,code snippet injection
221,4,Overflow-Underflow,code snippet injection
210,10,Overflow-Underflow,code snippet injection
201,8,Overflow-Underflow,code snippet injection
196,4,Overflow-Underflow,code snippet injection
187,8,Overflow-Underflow,code snippet injection
129,4,Overflow-Underflow,code snippet injection
118,10,Overflow-Underflow,code snippet injection
