loc,length,bug type,approach
362,10,Overflow-Underflow,code snippet injection
346,10,Overflow-Underflow,code snippet injection
334,4,Overflow-Underflow,code snippet injection
322,8,Overflow-Underflow,code snippet injection
306,10,Overflow-Underflow,code snippet injection
295,4,Overflow-Underflow,code snippet injection
280,8,Overflow-Underflow,code snippet injection
255,4,Overflow-Underflow,code snippet injection
240,8,Overflow-Underflow,code snippet injection
224,10,Overflow-Underflow,code snippet injection
201,4,Overflow-Underflow,code snippet injection
187,10,Overflow-Underflow,code snippet injection
179,4,Overflow-Underflow,code snippet injection
171,4,Overflow-Underflow,code snippet injection
119,4,Overflow-Underflow,code snippet injection
111,4,Overflow-Underflow,code snippet injection
103,4,Overflow-Underflow,code snippet injection
89,10,Overflow-Underflow,code snippet injection
159,4,Overflow-Underflow,code snippet injection
154,4,Overflow-Underflow,code snippet injection
145,8,Overflow-Underflow,code snippet injection
140,4,Overflow-Underflow,code snippet injection
135,4,Overflow-Underflow,code snippet injection
130,4,Overflow-Underflow,code snippet injection
70,10,Overflow-Underflow,code snippet injection
59,10,Overflow-Underflow,code snippet injection
50,8,Overflow-Underflow,code snippet injection
