loc,length,bug type,approach
838,10,Overflow-Underflow,code snippet injection
822,10,Overflow-Underflow,code snippet injection
803,4,Overflow-Underflow,code snippet injection
720,8,Overflow-Underflow,code snippet injection
782,10,Overflow-Underflow,code snippet injection
772,4,Overflow-Underflow,code snippet injection
763,8,Overflow-Underflow,code snippet injection
758,4,Overflow-Underflow,code snippet injection
749,8,Overflow-Underflow,code snippet injection
738,10,Overflow-Underflow,code snippet injection
733,4,Overflow-Underflow,code snippet injection
481,10,Overflow-Underflow,code snippet injection
476,4,Overflow-Underflow,code snippet injection
455,4,Overflow-Underflow,code snippet injection
450,4,Overflow-Underflow,code snippet injection
445,4,Overflow-Underflow,code snippet injection
440,4,Overflow-Underflow,code snippet injection
428,10,Overflow-Underflow,code snippet injection
423,4,Overflow-Underflow,code snippet injection
418,4,Overflow-Underflow,code snippet injection
409,8,Overflow-Underflow,code snippet injection
403,4,Overflow-Underflow,code snippet injection
398,4,Overflow-Underflow,code snippet injection
393,4,Overflow-Underflow,code snippet injection
382,10,Overflow-Underflow,code snippet injection
371,10,Overflow-Underflow,code snippet injection
362,8,Overflow-Underflow,code snippet injection
353,8,Overflow-Underflow,code snippet injection
344,8,Overflow-Underflow,code snippet injection
339,4,Overflow-Underflow,code snippet injection
334,4,Overflow-Underflow,code snippet injection
