loc,length,bug type,approach
456,10,Overflow-Underflow,code snippet injection
441,10,Overflow-Underflow,code snippet injection
432,4,Overflow-Underflow,code snippet injection
419,8,Overflow-Underflow,code snippet injection
404,10,Overflow-Underflow,code snippet injection
292,4,Overflow-Underflow,code snippet injection
281,8,Overflow-Underflow,code snippet injection
274,4,Overflow-Underflow,code snippet injection
263,8,Overflow-Underflow,code snippet injection
215,10,Overflow-Underflow,code snippet injection
204,4,Overflow-Underflow,code snippet injection
187,10,Overflow-Underflow,code snippet injection
176,4,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
156,4,Overflow-Underflow,code snippet injection
148,4,Overflow-Underflow,code snippet injection
139,4,Overflow-Underflow,code snippet injection
125,10,Overflow-Underflow,code snippet injection
118,4,Overflow-Underflow,code snippet injection
110,4,Overflow-Underflow,code snippet injection
99,8,Overflow-Underflow,code snippet injection
66,4,Overflow-Underflow,code snippet injection
57,4,Overflow-Underflow,code snippet injection
395,4,Overflow-Underflow,code snippet injection
384,10,Overflow-Underflow,code snippet injection
246,10,Overflow-Underflow,code snippet injection
237,8,Overflow-Underflow,code snippet injection
228,8,Overflow-Underflow,code snippet injection
87,8,Overflow-Underflow,code snippet injection
81,4,Overflow-Underflow,code snippet injection
75,4,Overflow-Underflow,code snippet injection
