loc,length,bug type,approach
672,10,Overflow-Underflow,code snippet injection
659,10,Overflow-Underflow,code snippet injection
652,4,Overflow-Underflow,code snippet injection
449,8,Overflow-Underflow,code snippet injection
437,10,Overflow-Underflow,code snippet injection
431,4,Overflow-Underflow,code snippet injection
302,8,Overflow-Underflow,code snippet injection
297,4,Overflow-Underflow,code snippet injection
137,8,Overflow-Underflow,code snippet injection
94,10,Overflow-Underflow,code snippet injection
646,4,Overflow-Underflow,code snippet injection
622,10,Overflow-Underflow,code snippet injection
605,4,Overflow-Underflow,code snippet injection
592,4,Overflow-Underflow,code snippet injection
581,4,Overflow-Underflow,code snippet injection
568,4,Overflow-Underflow,code snippet injection
555,4,Overflow-Underflow,code snippet injection
536,10,Overflow-Underflow,code snippet injection
522,4,Overflow-Underflow,code snippet injection
508,4,Overflow-Underflow,code snippet injection
475,8,Overflow-Underflow,code snippet injection
470,4,Overflow-Underflow,code snippet injection
465,4,Overflow-Underflow,code snippet injection
426,4,Overflow-Underflow,code snippet injection
408,10,Overflow-Underflow,code snippet injection
393,10,Overflow-Underflow,code snippet injection
378,8,Overflow-Underflow,code snippet injection
366,8,Overflow-Underflow,code snippet injection
350,8,Overflow-Underflow,code snippet injection
338,4,Overflow-Underflow,code snippet injection
284,4,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
243,10,Overflow-Underflow,code snippet injection
199,8,Overflow-Underflow,code snippet injection
186,4,Overflow-Underflow,code snippet injection
137,8,Overflow-Underflow,code snippet injection
132,4,Overflow-Underflow,code snippet injection
121,10,Overflow-Underflow,code snippet injection
94,8,Overflow-Underflow,code snippet injection
89,4,Overflow-Underflow,code snippet injection
