loc,length,bug type,approach
510,10,Overflow-Underflow,code snippet injection
499,10,Overflow-Underflow,code snippet injection
643,4,Overflow-Underflow,code snippet injection
623,8,Overflow-Underflow,code snippet injection
596,10,Overflow-Underflow,code snippet injection
587,4,Overflow-Underflow,code snippet injection
574,8,Overflow-Underflow,code snippet injection
566,4,Overflow-Underflow,code snippet injection
554,8,Overflow-Underflow,code snippet injection
535,10,Overflow-Underflow,code snippet injection
450,4,Overflow-Underflow,code snippet injection
427,10,Overflow-Underflow,code snippet injection
409,4,Overflow-Underflow,code snippet injection
391,4,Overflow-Underflow,code snippet injection
372,4,Overflow-Underflow,code snippet injection
354,4,Overflow-Underflow,code snippet injection
335,4,Overflow-Underflow,code snippet injection
310,10,Overflow-Underflow,code snippet injection
292,4,Overflow-Underflow,code snippet injection
274,4,Overflow-Underflow,code snippet injection
256,8,Overflow-Underflow,code snippet injection
242,4,Overflow-Underflow,code snippet injection
229,4,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
97,10,Overflow-Underflow,code snippet injection
80,10,Overflow-Underflow,code snippet injection
65,8,Overflow-Underflow,code snippet injection
522,8,Overflow-Underflow,code snippet injection
213,8,Overflow-Underflow,code snippet injection
207,4,Overflow-Underflow,code snippet injection
201,4,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
43,10,Overflow-Underflow,code snippet injection
34,8,Overflow-Underflow,code snippet injection
