loc,length,bug type,approach
2341,10,Overflow-Underflow,code snippet injection
2330,10,Overflow-Underflow,code snippet injection
2325,4,Overflow-Underflow,code snippet injection
1525,8,Overflow-Underflow,code snippet injection
1514,10,Overflow-Underflow,code snippet injection
1509,4,Overflow-Underflow,code snippet injection
11,8,Overflow-Underflow,code snippet injection
2673,4,Overflow-Underflow,code snippet injection
2650,8,Overflow-Underflow,code snippet injection
2561,10,Overflow-Underflow,code snippet injection
2549,4,Overflow-Underflow,code snippet injection
2505,10,Overflow-Underflow,code snippet injection
2492,4,Overflow-Underflow,code snippet injection
2479,4,Overflow-Underflow,code snippet injection
2461,4,Overflow-Underflow,code snippet injection
2440,4,Overflow-Underflow,code snippet injection
2428,4,Overflow-Underflow,code snippet injection
2410,10,Overflow-Underflow,code snippet injection
2373,4,Overflow-Underflow,code snippet injection
2310,4,Overflow-Underflow,code snippet injection
2296,8,Overflow-Underflow,code snippet injection
2276,4,Overflow-Underflow,code snippet injection
2261,4,Overflow-Underflow,code snippet injection
2247,4,Overflow-Underflow,code snippet injection
2229,10,Overflow-Underflow,code snippet injection
2211,10,Overflow-Underflow,code snippet injection
2173,8,Overflow-Underflow,code snippet injection
2140,8,Overflow-Underflow,code snippet injection
2102,8,Overflow-Underflow,code snippet injection
2089,4,Overflow-Underflow,code snippet injection
2075,4,Overflow-Underflow,code snippet injection
2062,4,Overflow-Underflow,code snippet injection
2035,10,Overflow-Underflow,code snippet injection
2013,8,Overflow-Underflow,code snippet injection
1994,4,Overflow-Underflow,code snippet injection
1975,8,Overflow-Underflow,code snippet injection
1963,4,Overflow-Underflow,code snippet injection
1942,10,Overflow-Underflow,code snippet injection
1904,8,Overflow-Underflow,code snippet injection
1899,4,Overflow-Underflow,code snippet injection
