loc,length,bug type,approach
1201,10,Overflow-Underflow,code snippet injection
199,10,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
185,8,Overflow-Underflow,code snippet injection
174,10,Overflow-Underflow,code snippet injection
169,4,Overflow-Underflow,code snippet injection
160,8,Overflow-Underflow,code snippet injection
155,4,Overflow-Underflow,code snippet injection
146,8,Overflow-Underflow,code snippet injection
135,10,Overflow-Underflow,code snippet injection
130,4,Overflow-Underflow,code snippet injection
119,10,Overflow-Underflow,code snippet injection
114,4,Overflow-Underflow,code snippet injection
109,4,Overflow-Underflow,code snippet injection
1243,4,Overflow-Underflow,code snippet injection
1192,4,Overflow-Underflow,code snippet injection
1175,4,Overflow-Underflow,code snippet injection
1159,10,Overflow-Underflow,code snippet injection
1150,4,Overflow-Underflow,code snippet injection
1127,4,Overflow-Underflow,code snippet injection
1112,8,Overflow-Underflow,code snippet injection
1104,4,Overflow-Underflow,code snippet injection
1096,4,Overflow-Underflow,code snippet injection
1088,4,Overflow-Underflow,code snippet injection
1074,10,Overflow-Underflow,code snippet injection
1056,10,Overflow-Underflow,code snippet injection
1043,8,Overflow-Underflow,code snippet injection
1030,8,Overflow-Underflow,code snippet injection
1017,8,Overflow-Underflow,code snippet injection
979,4,Overflow-Underflow,code snippet injection
970,4,Overflow-Underflow,code snippet injection
962,4,Overflow-Underflow,code snippet injection
948,10,Overflow-Underflow,code snippet injection
936,8,Overflow-Underflow,code snippet injection
928,4,Overflow-Underflow,code snippet injection
913,8,Overflow-Underflow,code snippet injection
898,4,Overflow-Underflow,code snippet injection
884,10,Overflow-Underflow,code snippet injection
869,8,Overflow-Underflow,code snippet injection
847,4,Overflow-Underflow,code snippet injection
