loc,length,bug type,approach
143,10,Overflow-Underflow,code snippet injection
96,10,Overflow-Underflow,code snippet injection
91,4,Overflow-Underflow,code snippet injection
438,8,Overflow-Underflow,code snippet injection
420,10,Overflow-Underflow,code snippet injection
408,4,Overflow-Underflow,code snippet injection
387,8,Overflow-Underflow,code snippet injection
374,4,Overflow-Underflow,code snippet injection
338,8,Overflow-Underflow,code snippet injection
313,10,Overflow-Underflow,code snippet injection
285,4,Overflow-Underflow,code snippet injection
267,10,Overflow-Underflow,code snippet injection
255,4,Overflow-Underflow,code snippet injection
181,4,Overflow-Underflow,code snippet injection
171,4,Overflow-Underflow,code snippet injection
158,4,Overflow-Underflow,code snippet injection
117,4,Overflow-Underflow,code snippet injection
80,10,Overflow-Underflow,code snippet injection
75,4,Overflow-Underflow,code snippet injection
70,4,Overflow-Underflow,code snippet injection
61,8,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
237,4,Overflow-Underflow,code snippet injection
224,10,Overflow-Underflow,code snippet injection
213,10,Overflow-Underflow,code snippet injection
204,8,Overflow-Underflow,code snippet injection
195,8,Overflow-Underflow,code snippet injection
133,8,Overflow-Underflow,code snippet injection
128,4,Overflow-Underflow,code snippet injection
