loc,length,bug type,approach
509,10,Overflow-Underflow,code snippet injection
494,10,Overflow-Underflow,code snippet injection
485,4,Overflow-Underflow,code snippet injection
472,8,Overflow-Underflow,code snippet injection
457,10,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
332,8,Overflow-Underflow,code snippet injection
325,4,Overflow-Underflow,code snippet injection
314,8,Overflow-Underflow,code snippet injection
280,10,Overflow-Underflow,code snippet injection
269,4,Overflow-Underflow,code snippet injection
252,10,Overflow-Underflow,code snippet injection
240,4,Overflow-Underflow,code snippet injection
218,4,Overflow-Underflow,code snippet injection
210,4,Overflow-Underflow,code snippet injection
202,4,Overflow-Underflow,code snippet injection
193,4,Overflow-Underflow,code snippet injection
179,10,Overflow-Underflow,code snippet injection
172,4,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
153,8,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
128,4,Overflow-Underflow,code snippet injection
113,10,Overflow-Underflow,code snippet injection
33,10,Overflow-Underflow,code snippet injection
20,8,Overflow-Underflow,code snippet injection
444,8,Overflow-Underflow,code snippet injection
435,8,Overflow-Underflow,code snippet injection
303,4,Overflow-Underflow,code snippet injection
298,4,Overflow-Underflow,code snippet injection
293,4,Overflow-Underflow,code snippet injection
97,10,Overflow-Underflow,code snippet injection
88,8,Overflow-Underflow,code snippet injection
83,4,Overflow-Underflow,code snippet injection
74,8,Overflow-Underflow,code snippet injection
69,4,Overflow-Underflow,code snippet injection
58,10,Overflow-Underflow,code snippet injection
48,8,Overflow-Underflow,code snippet injection
