loc,length,bug type,approach
289,10,Overflow-Underflow,code snippet injection
267,10,Overflow-Underflow,code snippet injection
251,4,Overflow-Underflow,code snippet injection
229,8,Overflow-Underflow,code snippet injection
207,10,Overflow-Underflow,code snippet injection
191,4,Overflow-Underflow,code snippet injection
153,8,Overflow-Underflow,code snippet injection
142,4,Overflow-Underflow,code snippet injection
131,8,Overflow-Underflow,code snippet injection
118,10,Overflow-Underflow,code snippet injection
111,4,Overflow-Underflow,code snippet injection
98,10,Overflow-Underflow,code snippet injection
91,4,Overflow-Underflow,code snippet injection
84,4,Overflow-Underflow,code snippet injection
73,4,Overflow-Underflow,code snippet injection
68,4,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
