loc,length,bug type,approach
1882,10,Overflow-Underflow,code snippet injection
1660,10,Overflow-Underflow,code snippet injection
815,4,Overflow-Underflow,code snippet injection
806,8,Overflow-Underflow,code snippet injection
712,10,Overflow-Underflow,code snippet injection
617,4,Overflow-Underflow,code snippet injection
608,8,Overflow-Underflow,code snippet injection
534,4,Overflow-Underflow,code snippet injection
525,8,Overflow-Underflow,code snippet injection
392,10,Overflow-Underflow,code snippet injection
1936,4,Overflow-Underflow,code snippet injection
1915,10,Overflow-Underflow,code snippet injection
1901,4,Overflow-Underflow,code snippet injection
1877,4,Overflow-Underflow,code snippet injection
1846,4,Overflow-Underflow,code snippet injection
1822,4,Overflow-Underflow,code snippet injection
1774,4,Overflow-Underflow,code snippet injection
1753,10,Overflow-Underflow,code snippet injection
1713,4,Overflow-Underflow,code snippet injection
1622,4,Overflow-Underflow,code snippet injection
1607,8,Overflow-Underflow,code snippet injection
1589,4,Overflow-Underflow,code snippet injection
1525,4,Overflow-Underflow,code snippet injection
1509,4,Overflow-Underflow,code snippet injection
1467,10,Overflow-Underflow,code snippet injection
1401,10,Overflow-Underflow,code snippet injection
1329,8,Overflow-Underflow,code snippet injection
1309,8,Overflow-Underflow,code snippet injection
1287,8,Overflow-Underflow,code snippet injection
1244,4,Overflow-Underflow,code snippet injection
1179,4,Overflow-Underflow,code snippet injection
1141,4,Overflow-Underflow,code snippet injection
1127,10,Overflow-Underflow,code snippet injection
933,8,Overflow-Underflow,code snippet injection
900,4,Overflow-Underflow,code snippet injection
888,8,Overflow-Underflow,code snippet injection
878,4,Overflow-Underflow,code snippet injection
861,10,Overflow-Underflow,code snippet injection
849,8,Overflow-Underflow,code snippet injection
841,4,Overflow-Underflow,code snippet injection
