loc,length,bug type,approach
461,10,Overflow-Underflow,code snippet injection
397,10,Overflow-Underflow,code snippet injection
392,4,Overflow-Underflow,code snippet injection
39,8,Overflow-Underflow,code snippet injection
28,10,Overflow-Underflow,code snippet injection
2179,4,Overflow-Underflow,code snippet injection
2160,8,Overflow-Underflow,code snippet injection
2154,4,Overflow-Underflow,code snippet injection
2101,8,Overflow-Underflow,code snippet injection
2066,10,Overflow-Underflow,code snippet injection
2045,4,Overflow-Underflow,code snippet injection
2025,10,Overflow-Underflow,code snippet injection
2009,4,Overflow-Underflow,code snippet injection
1998,4,Overflow-Underflow,code snippet injection
1991,4,Overflow-Underflow,code snippet injection
1968,4,Overflow-Underflow,code snippet injection
1963,4,Overflow-Underflow,code snippet injection
1951,10,Overflow-Underflow,code snippet injection
1946,4,Overflow-Underflow,code snippet injection
1940,4,Overflow-Underflow,code snippet injection
1931,8,Overflow-Underflow,code snippet injection
1925,4,Overflow-Underflow,code snippet injection
1920,4,Overflow-Underflow,code snippet injection
1914,4,Overflow-Underflow,code snippet injection
1903,10,Overflow-Underflow,code snippet injection
1890,10,Overflow-Underflow,code snippet injection
1881,8,Overflow-Underflow,code snippet injection
1871,8,Overflow-Underflow,code snippet injection
1862,8,Overflow-Underflow,code snippet injection
1856,4,Overflow-Underflow,code snippet injection
1851,4,Overflow-Underflow,code snippet injection
1845,4,Overflow-Underflow,code snippet injection
1834,10,Overflow-Underflow,code snippet injection
1824,8,Overflow-Underflow,code snippet injection
1819,4,Overflow-Underflow,code snippet injection
1809,8,Overflow-Underflow,code snippet injection
1804,4,Overflow-Underflow,code snippet injection
1439,10,Overflow-Underflow,code snippet injection
1415,8,Overflow-Underflow,code snippet injection
1383,4,Overflow-Underflow,code snippet injection
