loc,length,bug type,approach
81,10,Overflow-Underflow,code snippet injection
1301,10,Overflow-Underflow,code snippet injection
1295,4,Overflow-Underflow,code snippet injection
1281,8,Overflow-Underflow,code snippet injection
1258,10,Overflow-Underflow,code snippet injection
1250,4,Overflow-Underflow,code snippet injection
1238,8,Overflow-Underflow,code snippet injection
1225,4,Overflow-Underflow,code snippet injection
1208,8,Overflow-Underflow,code snippet injection
1160,10,Overflow-Underflow,code snippet injection
1144,4,Overflow-Underflow,code snippet injection
1123,10,Overflow-Underflow,code snippet injection
1113,4,Overflow-Underflow,code snippet injection
1103,4,Overflow-Underflow,code snippet injection
1094,4,Overflow-Underflow,code snippet injection
1085,4,Overflow-Underflow,code snippet injection
1060,4,Overflow-Underflow,code snippet injection
1006,10,Overflow-Underflow,code snippet injection
900,4,Overflow-Underflow,code snippet injection
813,4,Overflow-Underflow,code snippet injection
777,8,Overflow-Underflow,code snippet injection
747,4,Overflow-Underflow,code snippet injection
714,4,Overflow-Underflow,code snippet injection
667,4,Overflow-Underflow,code snippet injection
473,10,Overflow-Underflow,code snippet injection
450,10,Overflow-Underflow,code snippet injection
428,8,Overflow-Underflow,code snippet injection
406,8,Overflow-Underflow,code snippet injection
383,8,Overflow-Underflow,code snippet injection
365,4,Overflow-Underflow,code snippet injection
346,4,Overflow-Underflow,code snippet injection
327,4,Overflow-Underflow,code snippet injection
303,10,Overflow-Underflow,code snippet injection
281,8,Overflow-Underflow,code snippet injection
267,4,Overflow-Underflow,code snippet injection
249,8,Overflow-Underflow,code snippet injection
236,4,Overflow-Underflow,code snippet injection
165,10,Overflow-Underflow,code snippet injection
147,8,Overflow-Underflow,code snippet injection
135,4,Overflow-Underflow,code snippet injection
