loc,length,bug type,approach
851,10,Overflow-Underflow,code snippet injection
840,10,Overflow-Underflow,code snippet injection
269,4,Overflow-Underflow,code snippet injection
1229,8,Overflow-Underflow,code snippet injection
1198,10,Overflow-Underflow,code snippet injection
1185,4,Overflow-Underflow,code snippet injection
1162,8,Overflow-Underflow,code snippet injection
1140,4,Overflow-Underflow,code snippet injection
1121,8,Overflow-Underflow,code snippet injection
1070,10,Overflow-Underflow,code snippet injection
1055,4,Overflow-Underflow,code snippet injection
1041,10,Overflow-Underflow,code snippet injection
1033,4,Overflow-Underflow,code snippet injection
1005,4,Overflow-Underflow,code snippet injection
980,4,Overflow-Underflow,code snippet injection
942,4,Overflow-Underflow,code snippet injection
930,4,Overflow-Underflow,code snippet injection
906,10,Overflow-Underflow,code snippet injection
898,4,Overflow-Underflow,code snippet injection
725,4,Overflow-Underflow,code snippet injection
711,8,Overflow-Underflow,code snippet injection
701,4,Overflow-Underflow,code snippet injection
693,4,Overflow-Underflow,code snippet injection
685,4,Overflow-Underflow,code snippet injection
371,10,Overflow-Underflow,code snippet injection
352,10,Overflow-Underflow,code snippet injection
336,8,Overflow-Underflow,code snippet injection
316,8,Overflow-Underflow,code snippet injection
293,8,Overflow-Underflow,code snippet injection
282,4,Overflow-Underflow,code snippet injection
251,4,Overflow-Underflow,code snippet injection
242,4,Overflow-Underflow,code snippet injection
227,10,Overflow-Underflow,code snippet injection
830,8,Overflow-Underflow,code snippet injection
825,4,Overflow-Underflow,code snippet injection
816,8,Overflow-Underflow,code snippet injection
811,4,Overflow-Underflow,code snippet injection
800,10,Overflow-Underflow,code snippet injection
791,8,Overflow-Underflow,code snippet injection
786,4,Overflow-Underflow,code snippet injection
