loc,length,bug type,approach
1446,10,Overflow-Underflow,code snippet injection
1435,10,Overflow-Underflow,code snippet injection
1352,4,Overflow-Underflow,code snippet injection
1343,8,Overflow-Underflow,code snippet injection
1201,10,Overflow-Underflow,code snippet injection
1007,4,Overflow-Underflow,code snippet injection
998,8,Overflow-Underflow,code snippet injection
1701,4,Overflow-Underflow,code snippet injection
1667,8,Overflow-Underflow,code snippet injection
1629,10,Overflow-Underflow,code snippet injection
1617,4,Overflow-Underflow,code snippet injection
1599,10,Overflow-Underflow,code snippet injection
1586,4,Overflow-Underflow,code snippet injection
1573,4,Overflow-Underflow,code snippet injection
1558,4,Overflow-Underflow,code snippet injection
1544,4,Overflow-Underflow,code snippet injection
1530,4,Overflow-Underflow,code snippet injection
1513,10,Overflow-Underflow,code snippet injection
1502,4,Overflow-Underflow,code snippet injection
1420,4,Overflow-Underflow,code snippet injection
1407,8,Overflow-Underflow,code snippet injection
1398,4,Overflow-Underflow,code snippet injection
1390,4,Overflow-Underflow,code snippet injection
1382,4,Overflow-Underflow,code snippet injection
1363,10,Overflow-Underflow,code snippet injection
1326,10,Overflow-Underflow,code snippet injection
1299,8,Overflow-Underflow,code snippet injection
1282,8,Overflow-Underflow,code snippet injection
1266,8,Overflow-Underflow,code snippet injection
1250,4,Overflow-Underflow,code snippet injection
1231,4,Overflow-Underflow,code snippet injection
1220,4,Overflow-Underflow,code snippet injection
1175,10,Overflow-Underflow,code snippet injection
1160,8,Overflow-Underflow,code snippet injection
1138,4,Overflow-Underflow,code snippet injection
1118,8,Overflow-Underflow,code snippet injection
1107,4,Overflow-Underflow,code snippet injection
1079,10,Overflow-Underflow,code snippet injection
1049,8,Overflow-Underflow,code snippet injection
1040,4,Overflow-Underflow,code snippet injection
