loc,length,bug type,approach
59,10,Overflow-Underflow,code snippet injection
48,10,Overflow-Underflow,code snippet injection
308,4,Overflow-Underflow,code snippet injection
296,8,Overflow-Underflow,code snippet injection
282,10,Overflow-Underflow,code snippet injection
274,4,Overflow-Underflow,code snippet injection
261,8,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
240,8,Overflow-Underflow,code snippet injection
226,10,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
203,10,Overflow-Underflow,code snippet injection
193,4,Overflow-Underflow,code snippet injection
185,4,Overflow-Underflow,code snippet injection
177,4,Overflow-Underflow,code snippet injection
137,4,Overflow-Underflow,code snippet injection
126,4,Overflow-Underflow,code snippet injection
115,10,Overflow-Underflow,code snippet injection
110,4,Overflow-Underflow,code snippet injection
105,4,Overflow-Underflow,code snippet injection
93,8,Overflow-Underflow,code snippet injection
88,4,Overflow-Underflow,code snippet injection
83,4,Overflow-Underflow,code snippet injection
78,4,Overflow-Underflow,code snippet injection
37,10,Overflow-Underflow,code snippet injection
26,10,Overflow-Underflow,code snippet injection
17,8,Overflow-Underflow,code snippet injection
8,8,Overflow-Underflow,code snippet injection
159,8,Overflow-Underflow,code snippet injection
152,4,Overflow-Underflow,code snippet injection
147,4,Overflow-Underflow,code snippet injection
142,4,Overflow-Underflow,code snippet injection
