loc,length,bug type,approach
134,10,Overflow-Underflow,code snippet injection
123,10,Overflow-Underflow,code snippet injection
118,4,Overflow-Underflow,code snippet injection
109,8,Overflow-Underflow,code snippet injection
680,10,Overflow-Underflow,code snippet injection
671,4,Overflow-Underflow,code snippet injection
662,8,Overflow-Underflow,code snippet injection
657,4,Overflow-Underflow,code snippet injection
648,8,Overflow-Underflow,code snippet injection
636,10,Overflow-Underflow,code snippet injection
629,4,Overflow-Underflow,code snippet injection
616,10,Overflow-Underflow,code snippet injection
608,4,Overflow-Underflow,code snippet injection
585,4,Overflow-Underflow,code snippet injection
577,4,Overflow-Underflow,code snippet injection
570,4,Overflow-Underflow,code snippet injection
562,4,Overflow-Underflow,code snippet injection
549,10,Overflow-Underflow,code snippet injection
542,4,Overflow-Underflow,code snippet injection
534,4,Overflow-Underflow,code snippet injection
493,8,Overflow-Underflow,code snippet injection
456,4,Overflow-Underflow,code snippet injection
418,4,Overflow-Underflow,code snippet injection
399,4,Overflow-Underflow,code snippet injection
314,10,Overflow-Underflow,code snippet injection
239,10,Overflow-Underflow,code snippet injection
99,8,Overflow-Underflow,code snippet injection
90,8,Overflow-Underflow,code snippet injection
81,8,Overflow-Underflow,code snippet injection
64,4,Overflow-Underflow,code snippet injection
59,4,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
43,10,Overflow-Underflow,code snippet injection
34,8,Overflow-Underflow,code snippet injection
29,4,Overflow-Underflow,code snippet injection
20,8,Overflow-Underflow,code snippet injection
