loc,length,bug type,approach
532,10,Overflow-Underflow,code snippet injection
521,10,Overflow-Underflow,code snippet injection
497,4,Overflow-Underflow,code snippet injection
469,8,Overflow-Underflow,code snippet injection
368,10,Overflow-Underflow,code snippet injection
363,4,Overflow-Underflow,code snippet injection
314,8,Overflow-Underflow,code snippet injection
309,4,Overflow-Underflow,code snippet injection
257,8,Overflow-Underflow,code snippet injection
243,10,Overflow-Underflow,code snippet injection
698,4,Overflow-Underflow,code snippet injection
684,10,Overflow-Underflow,code snippet injection
676,4,Overflow-Underflow,code snippet injection
658,4,Overflow-Underflow,code snippet injection
640,4,Overflow-Underflow,code snippet injection
623,4,Overflow-Underflow,code snippet injection
610,4,Overflow-Underflow,code snippet injection
591,10,Overflow-Underflow,code snippet injection
584,4,Overflow-Underflow,code snippet injection
577,4,Overflow-Underflow,code snippet injection
551,8,Overflow-Underflow,code snippet injection
509,4,Overflow-Underflow,code snippet injection
491,4,Overflow-Underflow,code snippet injection
463,4,Overflow-Underflow,code snippet injection
439,10,Overflow-Underflow,code snippet injection
416,10,Overflow-Underflow,code snippet injection
404,8,Overflow-Underflow,code snippet injection
391,8,Overflow-Underflow,code snippet injection
353,8,Overflow-Underflow,code snippet injection
343,4,Overflow-Underflow,code snippet injection
303,4,Overflow-Underflow,code snippet injection
292,4,Overflow-Underflow,code snippet injection
277,10,Overflow-Underflow,code snippet injection
231,8,Overflow-Underflow,code snippet injection
213,4,Overflow-Underflow,code snippet injection
198,8,Overflow-Underflow,code snippet injection
185,4,Overflow-Underflow,code snippet injection
166,10,Overflow-Underflow,code snippet injection
149,8,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
