loc,length,bug type,approach
443,10,Overflow-Underflow,code snippet injection
428,10,Overflow-Underflow,code snippet injection
419,4,Overflow-Underflow,code snippet injection
365,8,Overflow-Underflow,code snippet injection
352,10,Overflow-Underflow,code snippet injection
345,4,Overflow-Underflow,code snippet injection
334,8,Overflow-Underflow,code snippet injection
290,4,Overflow-Underflow,code snippet injection
276,8,Overflow-Underflow,code snippet injection
260,10,Overflow-Underflow,code snippet injection
250,4,Overflow-Underflow,code snippet injection
235,10,Overflow-Underflow,code snippet injection
225,4,Overflow-Underflow,code snippet injection
214,4,Overflow-Underflow,code snippet injection
206,4,Overflow-Underflow,code snippet injection
198,4,Overflow-Underflow,code snippet injection
189,4,Overflow-Underflow,code snippet injection
175,10,Overflow-Underflow,code snippet injection
168,4,Overflow-Underflow,code snippet injection
160,4,Overflow-Underflow,code snippet injection
149,8,Overflow-Underflow,code snippet injection
115,4,Overflow-Underflow,code snippet injection
108,4,Overflow-Underflow,code snippet injection
409,4,Overflow-Underflow,code snippet injection
317,10,Overflow-Underflow,code snippet injection
306,10,Overflow-Underflow,code snippet injection
297,8,Overflow-Underflow,code snippet injection
137,8,Overflow-Underflow,code snippet injection
128,8,Overflow-Underflow,code snippet injection
123,4,Overflow-Underflow,code snippet injection
