loc,length,bug type,approach
228,10,Overflow-Underflow,code snippet injection
83,10,Overflow-Underflow,code snippet injection
24,4,Overflow-Underflow,code snippet injection
406,8,Overflow-Underflow,code snippet injection
392,10,Overflow-Underflow,code snippet injection
345,4,Overflow-Underflow,code snippet injection
324,8,Overflow-Underflow,code snippet injection
312,4,Overflow-Underflow,code snippet injection
299,8,Overflow-Underflow,code snippet injection
281,10,Overflow-Underflow,code snippet injection
228,4,Overflow-Underflow,code snippet injection
217,10,Overflow-Underflow,code snippet injection
212,4,Overflow-Underflow,code snippet injection
202,4,Overflow-Underflow,code snippet injection
193,4,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
139,4,Overflow-Underflow,code snippet injection
120,10,Overflow-Underflow,code snippet injection
101,4,Overflow-Underflow,code snippet injection
24,4,Overflow-Underflow,code snippet injection
15,8,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
381,4,Overflow-Underflow,code snippet injection
376,4,Overflow-Underflow,code snippet injection
365,10,Overflow-Underflow,code snippet injection
354,10,Overflow-Underflow,code snippet injection
251,8,Overflow-Underflow,code snippet injection
158,8,Overflow-Underflow,code snippet injection
149,8,Overflow-Underflow,code snippet injection
77,4,Overflow-Underflow,code snippet injection
