loc,length,bug type,approach
57,10,Overflow-Underflow,code snippet injection
637,10,Overflow-Underflow,code snippet injection
629,4,Overflow-Underflow,code snippet injection
601,8,Overflow-Underflow,code snippet injection
587,10,Overflow-Underflow,code snippet injection
563,4,Overflow-Underflow,code snippet injection
551,8,Overflow-Underflow,code snippet injection
541,4,Overflow-Underflow,code snippet injection
528,8,Overflow-Underflow,code snippet injection
513,10,Overflow-Underflow,code snippet injection
505,4,Overflow-Underflow,code snippet injection
485,10,Overflow-Underflow,code snippet injection
476,4,Overflow-Underflow,code snippet injection
467,4,Overflow-Underflow,code snippet injection
324,4,Overflow-Underflow,code snippet injection
317,4,Overflow-Underflow,code snippet injection
310,4,Overflow-Underflow,code snippet injection
297,10,Overflow-Underflow,code snippet injection
281,4,Overflow-Underflow,code snippet injection
273,4,Overflow-Underflow,code snippet injection
258,8,Overflow-Underflow,code snippet injection
247,4,Overflow-Underflow,code snippet injection
236,4,Overflow-Underflow,code snippet injection
224,4,Overflow-Underflow,code snippet injection
210,10,Overflow-Underflow,code snippet injection
196,10,Overflow-Underflow,code snippet injection
183,8,Overflow-Underflow,code snippet injection
171,8,Overflow-Underflow,code snippet injection
160,8,Overflow-Underflow,code snippet injection
152,4,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
128,4,Overflow-Underflow,code snippet injection
113,10,Overflow-Underflow,code snippet injection
102,8,Overflow-Underflow,code snippet injection
94,4,Overflow-Underflow,code snippet injection
79,8,Overflow-Underflow,code snippet injection
72,4,Overflow-Underflow,code snippet injection
42,10,Overflow-Underflow,code snippet injection
29,8,Overflow-Underflow,code snippet injection
20,4,Overflow-Underflow,code snippet injection
