loc,length,bug type,approach
796,10,Overflow-Underflow,code snippet injection
785,10,Overflow-Underflow,code snippet injection
82,4,Overflow-Underflow,code snippet injection
880,8,Overflow-Underflow,code snippet injection
842,10,Overflow-Underflow,code snippet injection
813,4,Overflow-Underflow,code snippet injection
767,8,Overflow-Underflow,code snippet injection
761,4,Overflow-Underflow,code snippet injection
745,8,Overflow-Underflow,code snippet injection
733,10,Overflow-Underflow,code snippet injection
724,4,Overflow-Underflow,code snippet injection
712,10,Overflow-Underflow,code snippet injection
700,4,Overflow-Underflow,code snippet injection
669,4,Overflow-Underflow,code snippet injection
658,4,Overflow-Underflow,code snippet injection
647,4,Overflow-Underflow,code snippet injection
625,4,Overflow-Underflow,code snippet injection
606,10,Overflow-Underflow,code snippet injection
594,4,Overflow-Underflow,code snippet injection
581,4,Overflow-Underflow,code snippet injection
564,8,Overflow-Underflow,code snippet injection
551,4,Overflow-Underflow,code snippet injection
539,4,Overflow-Underflow,code snippet injection
527,4,Overflow-Underflow,code snippet injection
508,10,Overflow-Underflow,code snippet injection
490,10,Overflow-Underflow,code snippet injection
474,8,Overflow-Underflow,code snippet injection
458,8,Overflow-Underflow,code snippet injection
442,8,Overflow-Underflow,code snippet injection
430,4,Overflow-Underflow,code snippet injection
418,4,Overflow-Underflow,code snippet injection
406,4,Overflow-Underflow,code snippet injection
388,10,Overflow-Underflow,code snippet injection
372,8,Overflow-Underflow,code snippet injection
360,4,Overflow-Underflow,code snippet injection
344,8,Overflow-Underflow,code snippet injection
331,4,Overflow-Underflow,code snippet injection
281,10,Overflow-Underflow,code snippet injection
266,8,Overflow-Underflow,code snippet injection
242,4,Overflow-Underflow,code snippet injection
