loc,length,bug type,approach
1038,10,Overflow-Underflow,code snippet injection
1027,10,Overflow-Underflow,code snippet injection
1022,4,Overflow-Underflow,code snippet injection
1013,8,Overflow-Underflow,code snippet injection
1002,10,Overflow-Underflow,code snippet injection
525,4,Overflow-Underflow,code snippet injection
448,8,Overflow-Underflow,code snippet injection
439,4,Overflow-Underflow,code snippet injection
377,8,Overflow-Underflow,code snippet injection
366,10,Overflow-Underflow,code snippet injection
1715,4,Overflow-Underflow,code snippet injection
1696,10,Overflow-Underflow,code snippet injection
1684,4,Overflow-Underflow,code snippet injection
1641,4,Overflow-Underflow,code snippet injection
1633,4,Overflow-Underflow,code snippet injection
1625,4,Overflow-Underflow,code snippet injection
1613,4,Overflow-Underflow,code snippet injection
1599,10,Overflow-Underflow,code snippet injection
1589,4,Overflow-Underflow,code snippet injection
1578,4,Overflow-Underflow,code snippet injection
1565,8,Overflow-Underflow,code snippet injection
1543,4,Overflow-Underflow,code snippet injection
1520,4,Overflow-Underflow,code snippet injection
1494,4,Overflow-Underflow,code snippet injection
1480,10,Overflow-Underflow,code snippet injection
1376,10,Overflow-Underflow,code snippet injection
1355,8,Overflow-Underflow,code snippet injection
1318,8,Overflow-Underflow,code snippet injection
1298,8,Overflow-Underflow,code snippet injection
1281,4,Overflow-Underflow,code snippet injection
1269,4,Overflow-Underflow,code snippet injection
1260,4,Overflow-Underflow,code snippet injection
1246,10,Overflow-Underflow,code snippet injection
1233,8,Overflow-Underflow,code snippet injection
1224,4,Overflow-Underflow,code snippet injection
1210,8,Overflow-Underflow,code snippet injection
1202,4,Overflow-Underflow,code snippet injection
1188,10,Overflow-Underflow,code snippet injection
1176,8,Overflow-Underflow,code snippet injection
1165,4,Overflow-Underflow,code snippet injection
