loc,length,bug type,approach
361,10,Overflow-Underflow,code snippet injection
350,10,Overflow-Underflow,code snippet injection
306,4,Overflow-Underflow,code snippet injection
228,8,Overflow-Underflow,code snippet injection
217,10,Overflow-Underflow,code snippet injection
133,4,Overflow-Underflow,code snippet injection
124,8,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
54,8,Overflow-Underflow,code snippet injection
649,10,Overflow-Underflow,code snippet injection
602,4,Overflow-Underflow,code snippet injection
572,10,Overflow-Underflow,code snippet injection
552,4,Overflow-Underflow,code snippet injection
534,4,Overflow-Underflow,code snippet injection
512,4,Overflow-Underflow,code snippet injection
493,4,Overflow-Underflow,code snippet injection
479,4,Overflow-Underflow,code snippet injection
460,10,Overflow-Underflow,code snippet injection
410,4,Overflow-Underflow,code snippet injection
398,4,Overflow-Underflow,code snippet injection
335,8,Overflow-Underflow,code snippet injection
293,4,Overflow-Underflow,code snippet injection
278,4,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
193,10,Overflow-Underflow,code snippet injection
173,10,Overflow-Underflow,code snippet injection
146,8,Overflow-Underflow,code snippet injection
45,8,Overflow-Underflow,code snippet injection
36,8,Overflow-Underflow,code snippet injection
31,4,Overflow-Underflow,code snippet injection
26,4,Overflow-Underflow,code snippet injection
21,4,Overflow-Underflow,code snippet injection
10,10,Overflow-Underflow,code snippet injection
634,8,Overflow-Underflow,code snippet injection
629,4,Overflow-Underflow,code snippet injection
620,8,Overflow-Underflow,code snippet injection
615,4,Overflow-Underflow,code snippet injection
442,10,Overflow-Underflow,code snippet injection
432,8,Overflow-Underflow,code snippet injection
426,4,Overflow-Underflow,code snippet injection
