loc,length,bug type,approach
185,10,Overflow-Underflow,code snippet injection
174,10,Overflow-Underflow,code snippet injection
169,4,Overflow-Underflow,code snippet injection
160,8,Overflow-Underflow,code snippet injection
149,10,Overflow-Underflow,code snippet injection
144,4,Overflow-Underflow,code snippet injection
14,8,Overflow-Underflow,code snippet injection
812,4,Overflow-Underflow,code snippet injection
797,8,Overflow-Underflow,code snippet injection
762,10,Overflow-Underflow,code snippet injection
734,4,Overflow-Underflow,code snippet injection
711,10,Overflow-Underflow,code snippet injection
686,4,Overflow-Underflow,code snippet injection
672,4,Overflow-Underflow,code snippet injection
658,4,Overflow-Underflow,code snippet injection
639,4,Overflow-Underflow,code snippet injection
626,4,Overflow-Underflow,code snippet injection
589,10,Overflow-Underflow,code snippet injection
580,4,Overflow-Underflow,code snippet injection
557,4,Overflow-Underflow,code snippet injection
545,8,Overflow-Underflow,code snippet injection
536,4,Overflow-Underflow,code snippet injection
528,4,Overflow-Underflow,code snippet injection
507,4,Overflow-Underflow,code snippet injection
489,10,Overflow-Underflow,code snippet injection
471,10,Overflow-Underflow,code snippet injection
458,8,Overflow-Underflow,code snippet injection
445,8,Overflow-Underflow,code snippet injection
430,8,Overflow-Underflow,code snippet injection
418,4,Overflow-Underflow,code snippet injection
386,4,Overflow-Underflow,code snippet injection
328,4,Overflow-Underflow,code snippet injection
313,10,Overflow-Underflow,code snippet injection
300,8,Overflow-Underflow,code snippet injection
291,4,Overflow-Underflow,code snippet injection
279,8,Overflow-Underflow,code snippet injection
268,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
239,8,Overflow-Underflow,code snippet injection
230,4,Overflow-Underflow,code snippet injection
