loc,length,bug type,approach
126,10,Overflow-Underflow,code snippet injection
113,10,Overflow-Underflow,code snippet injection
106,4,Overflow-Underflow,code snippet injection
1101,8,Overflow-Underflow,code snippet injection
1072,10,Overflow-Underflow,code snippet injection
1049,4,Overflow-Underflow,code snippet injection
1024,8,Overflow-Underflow,code snippet injection
994,4,Overflow-Underflow,code snippet injection
977,8,Overflow-Underflow,code snippet injection
957,10,Overflow-Underflow,code snippet injection
933,4,Overflow-Underflow,code snippet injection
870,10,Overflow-Underflow,code snippet injection
855,4,Overflow-Underflow,code snippet injection
833,4,Overflow-Underflow,code snippet injection
492,4,Overflow-Underflow,code snippet injection
471,4,Overflow-Underflow,code snippet injection
454,4,Overflow-Underflow,code snippet injection
433,10,Overflow-Underflow,code snippet injection
415,4,Overflow-Underflow,code snippet injection
311,4,Overflow-Underflow,code snippet injection
285,8,Overflow-Underflow,code snippet injection
266,4,Overflow-Underflow,code snippet injection
245,4,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
201,10,Overflow-Underflow,code snippet injection
178,10,Overflow-Underflow,code snippet injection
149,8,Overflow-Underflow,code snippet injection
917,8,Overflow-Underflow,code snippet injection
906,8,Overflow-Underflow,code snippet injection
824,4,Overflow-Underflow,code snippet injection
816,4,Overflow-Underflow,code snippet injection
811,4,Overflow-Underflow,code snippet injection
380,10,Overflow-Underflow,code snippet injection
366,8,Overflow-Underflow,code snippet injection
361,4,Overflow-Underflow,code snippet injection
352,8,Overflow-Underflow,code snippet injection
347,4,Overflow-Underflow,code snippet injection
334,10,Overflow-Underflow,code snippet injection
324,8,Overflow-Underflow,code snippet injection
99,4,Overflow-Underflow,code snippet injection
