loc,length,bug type,approach
302,10,Overflow-Underflow,code snippet injection
291,10,Overflow-Underflow,code snippet injection
286,4,Overflow-Underflow,code snippet injection
277,8,Overflow-Underflow,code snippet injection
266,10,Overflow-Underflow,code snippet injection
78,4,Overflow-Underflow,code snippet injection
69,8,Overflow-Underflow,code snippet injection
64,4,Overflow-Underflow,code snippet injection
583,8,Overflow-Underflow,code snippet injection
569,10,Overflow-Underflow,code snippet injection
561,4,Overflow-Underflow,code snippet injection
541,10,Overflow-Underflow,code snippet injection
529,4,Overflow-Underflow,code snippet injection
521,4,Overflow-Underflow,code snippet injection
513,4,Overflow-Underflow,code snippet injection
499,4,Overflow-Underflow,code snippet injection
491,4,Overflow-Underflow,code snippet injection
477,10,Overflow-Underflow,code snippet injection
468,4,Overflow-Underflow,code snippet injection
438,4,Overflow-Underflow,code snippet injection
422,8,Overflow-Underflow,code snippet injection
364,4,Overflow-Underflow,code snippet injection
332,4,Overflow-Underflow,code snippet injection
320,4,Overflow-Underflow,code snippet injection
157,10,Overflow-Underflow,code snippet injection
141,10,Overflow-Underflow,code snippet injection
127,8,Overflow-Underflow,code snippet injection
115,8,Overflow-Underflow,code snippet injection
41,8,Overflow-Underflow,code snippet injection
33,4,Overflow-Underflow,code snippet injection
25,4,Overflow-Underflow,code snippet injection
17,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
242,8,Overflow-Underflow,code snippet injection
237,4,Overflow-Underflow,code snippet injection
228,8,Overflow-Underflow,code snippet injection
219,4,Overflow-Underflow,code snippet injection
208,10,Overflow-Underflow,code snippet injection
198,8,Overflow-Underflow,code snippet injection
192,4,Overflow-Underflow,code snippet injection
