loc,length,bug type,approach
1051,10,Overflow-Underflow,code snippet injection
1040,10,Overflow-Underflow,code snippet injection
1035,4,Overflow-Underflow,code snippet injection
1026,8,Overflow-Underflow,code snippet injection
1011,10,Overflow-Underflow,code snippet injection
1011,4,Overflow-Underflow,code snippet injection
1000,8,Overflow-Underflow,code snippet injection
993,4,Overflow-Underflow,code snippet injection
981,8,Overflow-Underflow,code snippet injection
967,10,Overflow-Underflow,code snippet injection
960,4,Overflow-Underflow,code snippet injection
945,10,Overflow-Underflow,code snippet injection
937,4,Overflow-Underflow,code snippet injection
927,4,Overflow-Underflow,code snippet injection
915,4,Overflow-Underflow,code snippet injection
903,4,Overflow-Underflow,code snippet injection
883,4,Overflow-Underflow,code snippet injection
837,10,Overflow-Underflow,code snippet injection
823,4,Overflow-Underflow,code snippet injection
816,4,Overflow-Underflow,code snippet injection
797,8,Overflow-Underflow,code snippet injection
776,4,Overflow-Underflow,code snippet injection
744,4,Overflow-Underflow,code snippet injection
727,4,Overflow-Underflow,code snippet injection
704,10,Overflow-Underflow,code snippet injection
673,10,Overflow-Underflow,code snippet injection
652,8,Overflow-Underflow,code snippet injection
628,8,Overflow-Underflow,code snippet injection
594,8,Overflow-Underflow,code snippet injection
566,4,Overflow-Underflow,code snippet injection
543,4,Overflow-Underflow,code snippet injection
512,4,Overflow-Underflow,code snippet injection
499,10,Overflow-Underflow,code snippet injection
476,8,Overflow-Underflow,code snippet injection
471,4,Overflow-Underflow,code snippet injection
462,8,Overflow-Underflow,code snippet injection
457,4,Overflow-Underflow,code snippet injection
446,10,Overflow-Underflow,code snippet injection
437,8,Overflow-Underflow,code snippet injection
432,4,Overflow-Underflow,code snippet injection
