loc,length,bug type,approach
433,10,Overflow-Underflow,code snippet injection
418,10,Overflow-Underflow,code snippet injection
409,4,Overflow-Underflow,code snippet injection
395,8,Overflow-Underflow,code snippet injection
378,10,Overflow-Underflow,code snippet injection
259,4,Overflow-Underflow,code snippet injection
247,8,Overflow-Underflow,code snippet injection
240,4,Overflow-Underflow,code snippet injection
229,8,Overflow-Underflow,code snippet injection
216,10,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
157,10,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
135,4,Overflow-Underflow,code snippet injection
123,4,Overflow-Underflow,code snippet injection
115,4,Overflow-Underflow,code snippet injection
107,4,Overflow-Underflow,code snippet injection
92,10,Overflow-Underflow,code snippet injection
84,4,Overflow-Underflow,code snippet injection
77,4,Overflow-Underflow,code snippet injection
65,8,Overflow-Underflow,code snippet injection
58,4,Overflow-Underflow,code snippet injection
29,4,Overflow-Underflow,code snippet injection
20,4,Overflow-Underflow,code snippet injection
363,10,Overflow-Underflow,code snippet injection
352,10,Overflow-Underflow,code snippet injection
200,8,Overflow-Underflow,code snippet injection
191,8,Overflow-Underflow,code snippet injection
182,8,Overflow-Underflow,code snippet injection
50,4,Overflow-Underflow,code snippet injection
44,4,Overflow-Underflow,code snippet injection
38,4,Overflow-Underflow,code snippet injection
