loc,length,bug type,approach
97,10,Overflow-Underflow,code snippet injection
11,10,Overflow-Underflow,code snippet injection
164,4,Overflow-Underflow,code snippet injection
139,8,Overflow-Underflow,code snippet injection
124,10,Overflow-Underflow,code snippet injection
89,4,Overflow-Underflow,code snippet injection
70,8,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
30,8,Overflow-Underflow,code snippet injection
109,10,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
