loc,length,bug type,approach
1072,10,Overflow-Underflow,code snippet injection
1061,10,Overflow-Underflow,code snippet injection
767,4,Overflow-Underflow,code snippet injection
1395,8,Overflow-Underflow,code snippet injection
1381,10,Overflow-Underflow,code snippet injection
1373,4,Overflow-Underflow,code snippet injection
1359,8,Overflow-Underflow,code snippet injection
1341,4,Overflow-Underflow,code snippet injection
1309,8,Overflow-Underflow,code snippet injection
1294,10,Overflow-Underflow,code snippet injection
1286,4,Overflow-Underflow,code snippet injection
1272,10,Overflow-Underflow,code snippet injection
1249,4,Overflow-Underflow,code snippet injection
1241,4,Overflow-Underflow,code snippet injection
1231,4,Overflow-Underflow,code snippet injection
1215,4,Overflow-Underflow,code snippet injection
1195,4,Overflow-Underflow,code snippet injection
1170,10,Overflow-Underflow,code snippet injection
1149,4,Overflow-Underflow,code snippet injection
1140,4,Overflow-Underflow,code snippet injection
1125,8,Overflow-Underflow,code snippet injection
1117,4,Overflow-Underflow,code snippet injection
953,4,Overflow-Underflow,code snippet injection
941,4,Overflow-Underflow,code snippet injection
923,10,Overflow-Underflow,code snippet injection
909,10,Overflow-Underflow,code snippet injection
897,8,Overflow-Underflow,code snippet injection
859,8,Overflow-Underflow,code snippet injection
844,8,Overflow-Underflow,code snippet injection
833,4,Overflow-Underflow,code snippet injection
801,4,Overflow-Underflow,code snippet injection
713,4,Overflow-Underflow,code snippet injection
692,10,Overflow-Underflow,code snippet injection
663,8,Overflow-Underflow,code snippet injection
640,4,Overflow-Underflow,code snippet injection
615,8,Overflow-Underflow,code snippet injection
588,4,Overflow-Underflow,code snippet injection
559,10,Overflow-Underflow,code snippet injection
534,8,Overflow-Underflow,code snippet injection
512,4,Overflow-Underflow,code snippet injection
