loc,length,bug type,approach
418,10,Overflow-Underflow,code snippet injection
404,10,Overflow-Underflow,code snippet injection
396,4,Overflow-Underflow,code snippet injection
380,8,Overflow-Underflow,code snippet injection
366,10,Overflow-Underflow,code snippet injection
358,4,Overflow-Underflow,code snippet injection
346,8,Overflow-Underflow,code snippet injection
283,4,Overflow-Underflow,code snippet injection
272,8,Overflow-Underflow,code snippet injection
259,10,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
210,10,Overflow-Underflow,code snippet injection
200,4,Overflow-Underflow,code snippet injection
193,4,Overflow-Underflow,code snippet injection
184,4,Overflow-Underflow,code snippet injection
175,4,Overflow-Underflow,code snippet injection
165,4,Overflow-Underflow,code snippet injection
144,10,Overflow-Underflow,code snippet injection
133,4,Overflow-Underflow,code snippet injection
125,4,Overflow-Underflow,code snippet injection
113,8,Overflow-Underflow,code snippet injection
104,4,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
89,4,Overflow-Underflow,code snippet injection
75,10,Overflow-Underflow,code snippet injection
62,10,Overflow-Underflow,code snippet injection
29,8,Overflow-Underflow,code snippet injection
18,8,Overflow-Underflow,code snippet injection
331,8,Overflow-Underflow,code snippet injection
326,4,Overflow-Underflow,code snippet injection
321,4,Overflow-Underflow,code snippet injection
242,4,Overflow-Underflow,code snippet injection
231,10,Overflow-Underflow,code snippet injection
222,8,Overflow-Underflow,code snippet injection
54,4,Overflow-Underflow,code snippet injection
45,8,Overflow-Underflow,code snippet injection
40,4,Overflow-Underflow,code snippet injection
