loc,length,bug type,approach
455,10,Overflow-Underflow,code snippet injection
429,10,Overflow-Underflow,code snippet injection
412,4,Overflow-Underflow,code snippet injection
390,8,Overflow-Underflow,code snippet injection
366,10,Overflow-Underflow,code snippet injection
347,4,Overflow-Underflow,code snippet injection
325,8,Overflow-Underflow,code snippet injection
306,4,Overflow-Underflow,code snippet injection
283,8,Overflow-Underflow,code snippet injection
259,10,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
221,10,Overflow-Underflow,code snippet injection
207,4,Overflow-Underflow,code snippet injection
194,4,Overflow-Underflow,code snippet injection
157,4,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
135,4,Overflow-Underflow,code snippet injection
118,10,Overflow-Underflow,code snippet injection
445,4,Overflow-Underflow,code snippet injection
182,4,Overflow-Underflow,code snippet injection
172,8,Overflow-Underflow,code snippet injection
166,4,Overflow-Underflow,code snippet injection
107,4,Overflow-Underflow,code snippet injection
102,4,Overflow-Underflow,code snippet injection
91,10,Overflow-Underflow,code snippet injection
