loc,length,bug type,approach
611,10,Overflow-Underflow,code snippet injection
600,10,Overflow-Underflow,code snippet injection
592,4,Overflow-Underflow,code snippet injection
21,8,Overflow-Underflow,code snippet injection
1238,10,Overflow-Underflow,code snippet injection
1230,4,Overflow-Underflow,code snippet injection
1212,8,Overflow-Underflow,code snippet injection
1195,4,Overflow-Underflow,code snippet injection
1179,8,Overflow-Underflow,code snippet injection
1159,10,Overflow-Underflow,code snippet injection
1144,4,Overflow-Underflow,code snippet injection
1125,10,Overflow-Underflow,code snippet injection
1114,4,Overflow-Underflow,code snippet injection
1103,4,Overflow-Underflow,code snippet injection
1093,4,Overflow-Underflow,code snippet injection
1083,4,Overflow-Underflow,code snippet injection
1073,4,Overflow-Underflow,code snippet injection
1060,10,Overflow-Underflow,code snippet injection
1043,4,Overflow-Underflow,code snippet injection
1030,4,Overflow-Underflow,code snippet injection
1016,8,Overflow-Underflow,code snippet injection
1006,4,Overflow-Underflow,code snippet injection
994,4,Overflow-Underflow,code snippet injection
983,4,Overflow-Underflow,code snippet injection
966,10,Overflow-Underflow,code snippet injection
950,10,Overflow-Underflow,code snippet injection
935,8,Overflow-Underflow,code snippet injection
912,8,Overflow-Underflow,code snippet injection
896,8,Overflow-Underflow,code snippet injection
885,4,Overflow-Underflow,code snippet injection
874,4,Overflow-Underflow,code snippet injection
863,4,Overflow-Underflow,code snippet injection
845,10,Overflow-Underflow,code snippet injection
828,8,Overflow-Underflow,code snippet injection
818,4,Overflow-Underflow,code snippet injection
801,8,Overflow-Underflow,code snippet injection
789,4,Overflow-Underflow,code snippet injection
776,10,Overflow-Underflow,code snippet injection
765,8,Overflow-Underflow,code snippet injection
736,4,Overflow-Underflow,code snippet injection
