loc,length,bug type,approach
114,10,Overflow-Underflow,code snippet injection
77,10,Overflow-Underflow,code snippet injection
72,4,Overflow-Underflow,code snippet injection
327,8,Overflow-Underflow,code snippet injection
314,10,Overflow-Underflow,code snippet injection
306,4,Overflow-Underflow,code snippet injection
291,8,Overflow-Underflow,code snippet injection
283,4,Overflow-Underflow,code snippet injection
267,8,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
240,4,Overflow-Underflow,code snippet injection
226,10,Overflow-Underflow,code snippet injection
218,4,Overflow-Underflow,code snippet injection
152,4,Overflow-Underflow,code snippet injection
142,4,Overflow-Underflow,code snippet injection
129,4,Overflow-Underflow,code snippet injection
92,4,Overflow-Underflow,code snippet injection
61,10,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
42,8,Overflow-Underflow,code snippet injection
37,4,Overflow-Underflow,code snippet injection
32,4,Overflow-Underflow,code snippet injection
203,4,Overflow-Underflow,code snippet injection
190,10,Overflow-Underflow,code snippet injection
179,10,Overflow-Underflow,code snippet injection
170,8,Overflow-Underflow,code snippet injection
161,8,Overflow-Underflow,code snippet injection
104,8,Overflow-Underflow,code snippet injection
99,4,Overflow-Underflow,code snippet injection
