loc,length,bug type,approach
989,8,Re-entrancy,code snippet injection
980,8,Re-entrancy,code snippet injection
970,9,Re-entrancy,code snippet injection
961,8,Re-entrancy,code snippet injection
313,8,Re-entrancy,code snippet injection
1188,6,Re-entrancy,code snippet injection
1158,8,Re-entrancy,code snippet injection
1123,7,Re-entrancy,code snippet injection
1100,9,Re-entrancy,code snippet injection
1085,10,Re-entrancy,code snippet injection
1067,8,Re-entrancy,code snippet injection
1046,9,Re-entrancy,code snippet injection
1031,7,Re-entrancy,code snippet injection
1012,5,Re-entrancy,code snippet injection
833,8,Re-entrancy,code snippet injection
818,9,Re-entrancy,code snippet injection
805,7,Re-entrancy,code snippet injection
793,8,Re-entrancy,code snippet injection
770,5,Re-entrancy,code snippet injection
747,8,Re-entrancy,code snippet injection
422,8,Re-entrancy,code snippet injection
400,10,Re-entrancy,code snippet injection
385,7,Re-entrancy,code snippet injection
365,8,Re-entrancy,code snippet injection
342,8,Re-entrancy,code snippet injection
330,5,Re-entrancy,code snippet injection
284,8,Re-entrancy,code snippet injection
269,10,Re-entrancy,code snippet injection
255,8,Re-entrancy,code snippet injection
951,8,Re-entrancy,code snippet injection
942,8,Re-entrancy,code snippet injection
933,8,Re-entrancy,code snippet injection
924,8,Re-entrancy,code snippet injection
915,8,Re-entrancy,code snippet injection
905,9,Re-entrancy,code snippet injection
896,8,Re-entrancy,code snippet injection
889,6,Re-entrancy,code snippet injection
882,6,Re-entrancy,code snippet injection
873,8,Re-entrancy,code snippet injection
864,8,Re-entrancy,code snippet injection
854,8,Re-entrancy,code snippet injection
845,8,Re-entrancy,code snippet injection
