loc,length,bug type,approach
473,8,Re-entrancy,code snippet injection
461,8,Re-entrancy,code snippet injection
447,9,Re-entrancy,code snippet injection
433,8,Re-entrancy,code snippet injection
365,8,Re-entrancy,code snippet injection
356,6,Re-entrancy,code snippet injection
345,8,Re-entrancy,code snippet injection
335,7,Re-entrancy,code snippet injection
289,9,Re-entrancy,code snippet injection
269,10,Re-entrancy,code snippet injection
251,8,Re-entrancy,code snippet injection
202,9,Re-entrancy,code snippet injection
191,7,Re-entrancy,code snippet injection
182,5,Re-entrancy,code snippet injection
169,8,Re-entrancy,code snippet injection
156,9,Re-entrancy,code snippet injection
146,7,Re-entrancy,code snippet injection
134,8,Re-entrancy,code snippet injection
126,5,Re-entrancy,code snippet injection
42,8,Re-entrancy,code snippet injection
29,8,Re-entrancy,code snippet injection
318,10,Re-entrancy,code snippet injection
310,7,Re-entrancy,code snippet injection
301,8,Re-entrancy,code snippet injection
114,8,Re-entrancy,code snippet injection
107,5,Re-entrancy,code snippet injection
97,8,Re-entrancy,code snippet injection
84,10,Re-entrancy,code snippet injection
75,8,Re-entrancy,code snippet injection
65,8,Re-entrancy,code snippet injection
55,8,Re-entrancy,code snippet injection
