loc,length,bug type,approach
430,8,Re-entrancy,code snippet injection
421,8,Re-entrancy,code snippet injection
620,9,Re-entrancy,code snippet injection
510,8,Re-entrancy,code snippet injection
488,8,Re-entrancy,code snippet injection
477,6,Re-entrancy,code snippet injection
463,8,Re-entrancy,code snippet injection
443,7,Re-entrancy,code snippet injection
407,9,Re-entrancy,code snippet injection
393,10,Re-entrancy,code snippet injection
381,8,Re-entrancy,code snippet injection
368,9,Re-entrancy,code snippet injection
326,7,Re-entrancy,code snippet injection
313,5,Re-entrancy,code snippet injection
297,8,Re-entrancy,code snippet injection
280,9,Re-entrancy,code snippet injection
264,7,Re-entrancy,code snippet injection
251,8,Re-entrancy,code snippet injection
241,5,Re-entrancy,code snippet injection
227,8,Re-entrancy,code snippet injection
214,8,Re-entrancy,code snippet injection
200,10,Re-entrancy,code snippet injection
188,7,Re-entrancy,code snippet injection
176,8,Re-entrancy,code snippet injection
55,8,Re-entrancy,code snippet injection
46,5,Re-entrancy,code snippet injection
601,8,Re-entrancy,code snippet injection
590,10,Re-entrancy,code snippet injection
581,8,Re-entrancy,code snippet injection
572,8,Re-entrancy,code snippet injection
563,8,Re-entrancy,code snippet injection
554,8,Re-entrancy,code snippet injection
544,8,Re-entrancy,code snippet injection
535,8,Re-entrancy,code snippet injection
352,9,Re-entrancy,code snippet injection
343,8,Re-entrancy,code snippet injection
336,6,Re-entrancy,code snippet injection
165,6,Re-entrancy,code snippet injection
155,8,Re-entrancy,code snippet injection
145,8,Re-entrancy,code snippet injection
