loc,length,bug type,approach
700,8,Re-entrancy,code snippet injection
691,8,Re-entrancy,code snippet injection
656,9,Re-entrancy,code snippet injection
625,8,Re-entrancy,code snippet injection
527,8,Re-entrancy,code snippet injection
520,6,Re-entrancy,code snippet injection
459,8,Re-entrancy,code snippet injection
451,7,Re-entrancy,code snippet injection
381,9,Re-entrancy,code snippet injection
367,10,Re-entrancy,code snippet injection
882,8,Re-entrancy,code snippet injection
869,9,Re-entrancy,code snippet injection
858,7,Re-entrancy,code snippet injection
839,5,Re-entrancy,code snippet injection
817,8,Re-entrancy,code snippet injection
795,9,Re-entrancy,code snippet injection
779,7,Re-entrancy,code snippet injection
762,8,Re-entrancy,code snippet injection
754,5,Re-entrancy,code snippet injection
743,8,Re-entrancy,code snippet injection
717,8,Re-entrancy,code snippet injection
673,10,Re-entrancy,code snippet injection
647,7,Re-entrancy,code snippet injection
615,8,Re-entrancy,code snippet injection
593,8,Re-entrancy,code snippet injection
575,5,Re-entrancy,code snippet injection
563,8,Re-entrancy,code snippet injection
548,10,Re-entrancy,code snippet injection
510,8,Re-entrancy,code snippet injection
494,8,Re-entrancy,code snippet injection
441,8,Re-entrancy,code snippet injection
423,8,Re-entrancy,code snippet injection
407,8,Re-entrancy,code snippet injection
355,8,Re-entrancy,code snippet injection
332,9,Re-entrancy,code snippet injection
310,8,Re-entrancy,code snippet injection
290,6,Re-entrancy,code snippet injection
269,6,Re-entrancy,code snippet injection
247,8,Re-entrancy,code snippet injection
221,8,Re-entrancy,code snippet injection
195,8,Re-entrancy,code snippet injection
172,8,Re-entrancy,code snippet injection
