loc,length,bug type,approach
1201,8,Re-entrancy,code snippet injection
1192,8,Re-entrancy,code snippet injection
1181,9,Re-entrancy,code snippet injection
336,8,Re-entrancy,code snippet injection
1696,8,Re-entrancy,code snippet injection
1677,6,Re-entrancy,code snippet injection
1653,8,Re-entrancy,code snippet injection
1631,7,Re-entrancy,code snippet injection
1603,9,Re-entrancy,code snippet injection
1579,10,Re-entrancy,code snippet injection
1550,8,Re-entrancy,code snippet injection
1525,9,Re-entrancy,code snippet injection
1478,7,Re-entrancy,code snippet injection
1385,5,Re-entrancy,code snippet injection
1363,8,Re-entrancy,code snippet injection
1352,9,Re-entrancy,code snippet injection
1343,7,Re-entrancy,code snippet injection
1314,8,Re-entrancy,code snippet injection
1292,5,Re-entrancy,code snippet injection
1262,8,Re-entrancy,code snippet injection
1132,8,Re-entrancy,code snippet injection
465,10,Re-entrancy,code snippet injection
396,7,Re-entrancy,code snippet injection
375,8,Re-entrancy,code snippet injection
324,8,Re-entrancy,code snippet injection
311,5,Re-entrancy,code snippet injection
295,8,Re-entrancy,code snippet injection
277,10,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
245,8,Re-entrancy,code snippet injection
229,8,Re-entrancy,code snippet injection
213,8,Re-entrancy,code snippet injection
197,8,Re-entrancy,code snippet injection
181,8,Re-entrancy,code snippet injection
105,9,Re-entrancy,code snippet injection
1229,8,Re-entrancy,code snippet injection
1221,6,Re-entrancy,code snippet injection
1212,6,Re-entrancy,code snippet injection
1113,8,Re-entrancy,code snippet injection
477,8,Re-entrancy,code snippet injection
424,8,Re-entrancy,code snippet injection
411,8,Re-entrancy,code snippet injection
