loc,length,bug type,approach
265,8,Re-entrancy,code snippet injection
130,8,Re-entrancy,code snippet injection
120,9,Re-entrancy,code snippet injection
111,8,Re-entrancy,code snippet injection
71,8,Re-entrancy,code snippet injection
874,6,Re-entrancy,code snippet injection
858,8,Re-entrancy,code snippet injection
843,7,Re-entrancy,code snippet injection
823,9,Re-entrancy,code snippet injection
805,10,Re-entrancy,code snippet injection
788,8,Re-entrancy,code snippet injection
773,9,Re-entrancy,code snippet injection
712,7,Re-entrancy,code snippet injection
700,5,Re-entrancy,code snippet injection
685,8,Re-entrancy,code snippet injection
657,9,Re-entrancy,code snippet injection
647,7,Re-entrancy,code snippet injection
629,8,Re-entrancy,code snippet injection
615,5,Re-entrancy,code snippet injection
599,8,Re-entrancy,code snippet injection
584,8,Re-entrancy,code snippet injection
544,10,Re-entrancy,code snippet injection
513,7,Re-entrancy,code snippet injection
483,8,Re-entrancy,code snippet injection
454,8,Re-entrancy,code snippet injection
439,5,Re-entrancy,code snippet injection
426,8,Re-entrancy,code snippet injection
412,10,Re-entrancy,code snippet injection
386,8,Re-entrancy,code snippet injection
374,8,Re-entrancy,code snippet injection
256,8,Re-entrancy,code snippet injection
246,8,Re-entrancy,code snippet injection
236,8,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
209,9,Re-entrancy,code snippet injection
199,8,Re-entrancy,code snippet injection
191,6,Re-entrancy,code snippet injection
183,6,Re-entrancy,code snippet injection
173,8,Re-entrancy,code snippet injection
163,8,Re-entrancy,code snippet injection
153,8,Re-entrancy,code snippet injection
143,8,Re-entrancy,code snippet injection
