loc,length,bug type,approach
408,8,Re-entrancy,code snippet injection
399,8,Re-entrancy,code snippet injection
568,9,Re-entrancy,code snippet injection
544,8,Re-entrancy,code snippet injection
523,8,Re-entrancy,code snippet injection
499,6,Re-entrancy,code snippet injection
474,8,Re-entrancy,code snippet injection
459,7,Re-entrancy,code snippet injection
442,9,Re-entrancy,code snippet injection
386,10,Re-entrancy,code snippet injection
60,8,Re-entrancy,code snippet injection
50,9,Re-entrancy,code snippet injection
42,7,Re-entrancy,code snippet injection
21,5,Re-entrancy,code snippet injection
12,8,Re-entrancy,code snippet injection
509,9,Re-entrancy,code snippet injection
429,7,Re-entrancy,code snippet injection
420,8,Re-entrancy,code snippet injection
371,5,Re-entrancy,code snippet injection
362,8,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
339,10,Re-entrancy,code snippet injection
331,7,Re-entrancy,code snippet injection
321,8,Re-entrancy,code snippet injection
312,8,Re-entrancy,code snippet injection
306,5,Re-entrancy,code snippet injection
297,8,Re-entrancy,code snippet injection
286,10,Re-entrancy,code snippet injection
276,8,Re-entrancy,code snippet injection
267,8,Re-entrancy,code snippet injection
258,8,Re-entrancy,code snippet injection
247,8,Re-entrancy,code snippet injection
236,8,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
216,9,Re-entrancy,code snippet injection
207,8,Re-entrancy,code snippet injection
200,6,Re-entrancy,code snippet injection
192,6,Re-entrancy,code snippet injection
181,8,Re-entrancy,code snippet injection
171,8,Re-entrancy,code snippet injection
162,8,Re-entrancy,code snippet injection
153,8,Re-entrancy,code snippet injection
