loc,length,bug type,approach
1617,8,Re-entrancy,code snippet injection
1608,8,Re-entrancy,code snippet injection
1505,9,Re-entrancy,code snippet injection
1496,8,Re-entrancy,code snippet injection
1347,8,Re-entrancy,code snippet injection
1130,6,Re-entrancy,code snippet injection
1121,8,Re-entrancy,code snippet injection
1893,7,Re-entrancy,code snippet injection
1854,9,Re-entrancy,code snippet injection
1816,10,Re-entrancy,code snippet injection
1800,8,Re-entrancy,code snippet injection
1783,9,Re-entrancy,code snippet injection
1767,7,Re-entrancy,code snippet injection
1753,5,Re-entrancy,code snippet injection
1734,8,Re-entrancy,code snippet injection
1715,9,Re-entrancy,code snippet injection
1698,7,Re-entrancy,code snippet injection
1683,8,Re-entrancy,code snippet injection
1671,5,Re-entrancy,code snippet injection
1589,8,Re-entrancy,code snippet injection
1576,8,Re-entrancy,code snippet injection
1561,10,Re-entrancy,code snippet injection
1550,7,Re-entrancy,code snippet injection
1538,8,Re-entrancy,code snippet injection
1521,8,Re-entrancy,code snippet injection
1484,5,Re-entrancy,code snippet injection
1457,8,Re-entrancy,code snippet injection
1438,10,Re-entrancy,code snippet injection
1422,8,Re-entrancy,code snippet injection
1402,8,Re-entrancy,code snippet injection
1379,8,Re-entrancy,code snippet injection
1364,8,Re-entrancy,code snippet injection
1323,8,Re-entrancy,code snippet injection
1308,8,Re-entrancy,code snippet injection
1281,9,Re-entrancy,code snippet injection
1261,8,Re-entrancy,code snippet injection
1248,6,Re-entrancy,code snippet injection
1224,6,Re-entrancy,code snippet injection
1194,8,Re-entrancy,code snippet injection
1181,8,Re-entrancy,code snippet injection
1168,8,Re-entrancy,code snippet injection
1156,8,Re-entrancy,code snippet injection
