loc,length,bug type,approach
106,8,Re-entrancy,code snippet injection
97,8,Re-entrancy,code snippet injection
333,9,Re-entrancy,code snippet injection
282,8,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
242,6,Re-entrancy,code snippet injection
224,8,Re-entrancy,code snippet injection
200,7,Re-entrancy,code snippet injection
172,9,Re-entrancy,code snippet injection
153,10,Re-entrancy,code snippet injection
88,8,Re-entrancy,code snippet injection
78,9,Re-entrancy,code snippet injection
70,7,Re-entrancy,code snippet injection
64,5,Re-entrancy,code snippet injection
55,8,Re-entrancy,code snippet injection
317,9,Re-entrancy,code snippet injection
308,7,Re-entrancy,code snippet injection
299,8,Re-entrancy,code snippet injection
293,5,Re-entrancy,code snippet injection
128,8,Re-entrancy,code snippet injection
119,8,Re-entrancy,code snippet injection
42,10,Re-entrancy,code snippet injection
