loc,length,bug type,approach
438,8,Re-entrancy,code snippet injection
404,8,Re-entrancy,code snippet injection
391,9,Re-entrancy,code snippet injection
366,8,Re-entrancy,code snippet injection
354,8,Re-entrancy,code snippet injection
341,6,Re-entrancy,code snippet injection
326,8,Re-entrancy,code snippet injection
312,7,Re-entrancy,code snippet injection
296,9,Re-entrancy,code snippet injection
282,10,Re-entrancy,code snippet injection
270,8,Re-entrancy,code snippet injection
256,9,Re-entrancy,code snippet injection
245,7,Re-entrancy,code snippet injection
236,5,Re-entrancy,code snippet injection
225,8,Re-entrancy,code snippet injection
213,9,Re-entrancy,code snippet injection
95,7,Re-entrancy,code snippet injection
83,8,Re-entrancy,code snippet injection
74,5,Re-entrancy,code snippet injection
62,8,Re-entrancy,code snippet injection
424,8,Re-entrancy,code snippet injection
198,10,Re-entrancy,code snippet injection
189,7,Re-entrancy,code snippet injection
179,8,Re-entrancy,code snippet injection
47,8,Re-entrancy,code snippet injection
41,5,Re-entrancy,code snippet injection
32,8,Re-entrancy,code snippet injection
