loc,length,bug type,approach
732,8,Re-entrancy,code snippet injection
719,8,Re-entrancy,code snippet injection
604,9,Re-entrancy,code snippet injection
595,8,Re-entrancy,code snippet injection
948,8,Re-entrancy,code snippet injection
891,6,Re-entrancy,code snippet injection
879,8,Re-entrancy,code snippet injection
868,7,Re-entrancy,code snippet injection
855,9,Re-entrancy,code snippet injection
841,10,Re-entrancy,code snippet injection
817,8,Re-entrancy,code snippet injection
800,9,Re-entrancy,code snippet injection
769,7,Re-entrancy,code snippet injection
757,5,Re-entrancy,code snippet injection
691,8,Re-entrancy,code snippet injection
677,9,Re-entrancy,code snippet injection
665,7,Re-entrancy,code snippet injection
653,8,Re-entrancy,code snippet injection
644,5,Re-entrancy,code snippet injection
627,8,Re-entrancy,code snippet injection
538,8,Re-entrancy,code snippet injection
517,10,Re-entrancy,code snippet injection
489,7,Re-entrancy,code snippet injection
462,8,Re-entrancy,code snippet injection
437,8,Re-entrancy,code snippet injection
409,5,Re-entrancy,code snippet injection
382,8,Re-entrancy,code snippet injection
355,10,Re-entrancy,code snippet injection
329,8,Re-entrancy,code snippet injection
309,8,Re-entrancy,code snippet injection
294,8,Re-entrancy,code snippet injection
273,8,Re-entrancy,code snippet injection
258,8,Re-entrancy,code snippet injection
934,8,Re-entrancy,code snippet injection
924,9,Re-entrancy,code snippet injection
915,8,Re-entrancy,code snippet injection
906,6,Re-entrancy,code snippet injection
742,6,Re-entrancy,code snippet injection
615,8,Re-entrancy,code snippet injection
242,8,Re-entrancy,code snippet injection
232,8,Re-entrancy,code snippet injection
222,8,Re-entrancy,code snippet injection
