loc,length,bug type,approach
478,8,Re-entrancy,code snippet injection
464,8,Re-entrancy,code snippet injection
449,9,Re-entrancy,code snippet injection
434,8,Re-entrancy,code snippet injection
132,8,Re-entrancy,code snippet injection
120,6,Re-entrancy,code snippet injection
773,8,Re-entrancy,code snippet injection
761,7,Re-entrancy,code snippet injection
748,9,Re-entrancy,code snippet injection
730,10,Re-entrancy,code snippet injection
709,8,Re-entrancy,code snippet injection
681,9,Re-entrancy,code snippet injection
662,7,Re-entrancy,code snippet injection
642,5,Re-entrancy,code snippet injection
622,8,Re-entrancy,code snippet injection
599,9,Re-entrancy,code snippet injection
578,7,Re-entrancy,code snippet injection
537,8,Re-entrancy,code snippet injection
503,5,Re-entrancy,code snippet injection
414,8,Re-entrancy,code snippet injection
402,8,Re-entrancy,code snippet injection
388,10,Re-entrancy,code snippet injection
374,7,Re-entrancy,code snippet injection
362,8,Re-entrancy,code snippet injection
326,8,Re-entrancy,code snippet injection
317,5,Re-entrancy,code snippet injection
294,8,Re-entrancy,code snippet injection
274,10,Re-entrancy,code snippet injection
250,8,Re-entrancy,code snippet injection
220,8,Re-entrancy,code snippet injection
211,8,Re-entrancy,code snippet injection
200,8,Re-entrancy,code snippet injection
190,8,Re-entrancy,code snippet injection
180,8,Re-entrancy,code snippet injection
169,9,Re-entrancy,code snippet injection
159,8,Re-entrancy,code snippet injection
151,6,Re-entrancy,code snippet injection
143,6,Re-entrancy,code snippet injection
101,8,Re-entrancy,code snippet injection
89,8,Re-entrancy,code snippet injection
77,8,Re-entrancy,code snippet injection
65,8,Re-entrancy,code snippet injection
