loc,length,bug type,approach
892,8,Re-entrancy,code snippet injection
826,8,Re-entrancy,code snippet injection
802,9,Re-entrancy,code snippet injection
778,8,Re-entrancy,code snippet injection
750,8,Re-entrancy,code snippet injection
729,6,Re-entrancy,code snippet injection
713,8,Re-entrancy,code snippet injection
698,7,Re-entrancy,code snippet injection
681,9,Re-entrancy,code snippet injection
663,10,Re-entrancy,code snippet injection
644,8,Re-entrancy,code snippet injection
626,9,Re-entrancy,code snippet injection
611,7,Re-entrancy,code snippet injection
596,5,Re-entrancy,code snippet injection
579,8,Re-entrancy,code snippet injection
560,9,Re-entrancy,code snippet injection
543,7,Re-entrancy,code snippet injection
519,8,Re-entrancy,code snippet injection
499,5,Re-entrancy,code snippet injection
476,8,Re-entrancy,code snippet injection
449,8,Re-entrancy,code snippet injection
427,10,Re-entrancy,code snippet injection
409,7,Re-entrancy,code snippet injection
393,8,Re-entrancy,code snippet injection
372,8,Re-entrancy,code snippet injection
340,5,Re-entrancy,code snippet injection
307,8,Re-entrancy,code snippet injection
270,10,Re-entrancy,code snippet injection
255,8,Re-entrancy,code snippet injection
246,8,Re-entrancy,code snippet injection
237,8,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
206,8,Re-entrancy,code snippet injection
195,9,Re-entrancy,code snippet injection
176,8,Re-entrancy,code snippet injection
169,6,Re-entrancy,code snippet injection
162,6,Re-entrancy,code snippet injection
153,8,Re-entrancy,code snippet injection
143,8,Re-entrancy,code snippet injection
134,8,Re-entrancy,code snippet injection
125,8,Re-entrancy,code snippet injection
