loc,length,bug type,approach
264,8,Re-entrancy,code snippet injection
255,8,Re-entrancy,code snippet injection
245,9,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
108,8,Re-entrancy,code snippet injection
650,6,Re-entrancy,code snippet injection
629,8,Re-entrancy,code snippet injection
611,7,Re-entrancy,code snippet injection
568,9,Re-entrancy,code snippet injection
554,10,Re-entrancy,code snippet injection
533,8,Re-entrancy,code snippet injection
516,9,Re-entrancy,code snippet injection
495,7,Re-entrancy,code snippet injection
472,5,Re-entrancy,code snippet injection
444,8,Re-entrancy,code snippet injection
426,9,Re-entrancy,code snippet injection
415,7,Re-entrancy,code snippet injection
402,8,Re-entrancy,code snippet injection
380,5,Re-entrancy,code snippet injection
369,8,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
196,10,Re-entrancy,code snippet injection
181,7,Re-entrancy,code snippet injection
161,8,Re-entrancy,code snippet injection
138,8,Re-entrancy,code snippet injection
126,5,Re-entrancy,code snippet injection
83,8,Re-entrancy,code snippet injection
59,10,Re-entrancy,code snippet injection
38,8,Re-entrancy,code snippet injection
16,8,Re-entrancy,code snippet injection
343,8,Re-entrancy,code snippet injection
334,8,Re-entrancy,code snippet injection
325,8,Re-entrancy,code snippet injection
316,8,Re-entrancy,code snippet injection
306,9,Re-entrancy,code snippet injection
297,8,Re-entrancy,code snippet injection
100,6,Re-entrancy,code snippet injection
