loc,length,bug type,approach
495,8,Re-entrancy,code snippet injection
482,8,Re-entrancy,code snippet injection
469,9,Re-entrancy,code snippet injection
457,8,Re-entrancy,code snippet injection
357,8,Re-entrancy,code snippet injection
348,6,Re-entrancy,code snippet injection
337,8,Re-entrancy,code snippet injection
327,7,Re-entrancy,code snippet injection
283,9,Re-entrancy,code snippet injection
263,10,Re-entrancy,code snippet injection
247,8,Re-entrancy,code snippet injection
230,9,Re-entrancy,code snippet injection
202,7,Re-entrancy,code snippet injection
193,5,Re-entrancy,code snippet injection
181,8,Re-entrancy,code snippet injection
167,9,Re-entrancy,code snippet injection
156,7,Re-entrancy,code snippet injection
145,8,Re-entrancy,code snippet injection
136,5,Re-entrancy,code snippet injection
125,8,Re-entrancy,code snippet injection
61,8,Re-entrancy,code snippet injection
46,10,Re-entrancy,code snippet injection
313,7,Re-entrancy,code snippet injection
304,8,Re-entrancy,code snippet injection
295,8,Re-entrancy,code snippet injection
116,5,Re-entrancy,code snippet injection
106,8,Re-entrancy,code snippet injection
94,10,Re-entrancy,code snippet injection
84,8,Re-entrancy,code snippet injection
74,8,Re-entrancy,code snippet injection
