loc,length,bug type,approach
154,8,Re-entrancy,code snippet injection
129,8,Re-entrancy,code snippet injection
119,9,Re-entrancy,code snippet injection
461,8,Re-entrancy,code snippet injection
445,8,Re-entrancy,code snippet injection
433,6,Re-entrancy,code snippet injection
409,8,Re-entrancy,code snippet injection
386,7,Re-entrancy,code snippet injection
368,9,Re-entrancy,code snippet injection
343,10,Re-entrancy,code snippet injection
319,8,Re-entrancy,code snippet injection
296,9,Re-entrancy,code snippet injection
282,7,Re-entrancy,code snippet injection
207,5,Re-entrancy,code snippet injection
190,8,Re-entrancy,code snippet injection
168,9,Re-entrancy,code snippet injection
111,7,Re-entrancy,code snippet injection
102,8,Re-entrancy,code snippet injection
96,5,Re-entrancy,code snippet injection
87,8,Re-entrancy,code snippet injection
78,8,Re-entrancy,code snippet injection
51,10,Re-entrancy,code snippet injection
39,7,Re-entrancy,code snippet injection
26,8,Re-entrancy,code snippet injection
13,8,Re-entrancy,code snippet injection
266,5,Re-entrancy,code snippet injection
255,8,Re-entrancy,code snippet injection
244,10,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
217,8,Re-entrancy,code snippet injection
144,8,Re-entrancy,code snippet injection
67,8,Re-entrancy,code snippet injection
