loc,length,bug type,approach
406,8,Re-entrancy,code snippet injection
283,8,Re-entrancy,code snippet injection
273,9,Re-entrancy,code snippet injection
264,8,Re-entrancy,code snippet injection
255,8,Re-entrancy,code snippet injection
588,6,Re-entrancy,code snippet injection
571,8,Re-entrancy,code snippet injection
560,7,Re-entrancy,code snippet injection
547,9,Re-entrancy,code snippet injection
529,10,Re-entrancy,code snippet injection
517,8,Re-entrancy,code snippet injection
501,9,Re-entrancy,code snippet injection
487,7,Re-entrancy,code snippet injection
466,5,Re-entrancy,code snippet injection
397,8,Re-entrancy,code snippet injection
319,9,Re-entrancy,code snippet injection
302,7,Re-entrancy,code snippet injection
79,8,Re-entrancy,code snippet injection
70,5,Re-entrancy,code snippet injection
58,8,Re-entrancy,code snippet injection
46,8,Re-entrancy,code snippet injection
243,10,Re-entrancy,code snippet injection
235,7,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
210,5,Re-entrancy,code snippet injection
200,8,Re-entrancy,code snippet injection
188,10,Re-entrancy,code snippet injection
178,8,Re-entrancy,code snippet injection
169,8,Re-entrancy,code snippet injection
159,8,Re-entrancy,code snippet injection
150,8,Re-entrancy,code snippet injection
130,8,Re-entrancy,code snippet injection
120,8,Re-entrancy,code snippet injection
110,9,Re-entrancy,code snippet injection
100,8,Re-entrancy,code snippet injection
93,6,Re-entrancy,code snippet injection
25,6,Re-entrancy,code snippet injection
16,8,Re-entrancy,code snippet injection
7,8,Re-entrancy,code snippet injection
