loc,length,bug type,approach
412,8,Re-entrancy,code snippet injection
403,8,Re-entrancy,code snippet injection
599,9,Re-entrancy,code snippet injection
492,8,Re-entrancy,code snippet injection
470,8,Re-entrancy,code snippet injection
459,6,Re-entrancy,code snippet injection
445,8,Re-entrancy,code snippet injection
425,7,Re-entrancy,code snippet injection
390,9,Re-entrancy,code snippet injection
376,10,Re-entrancy,code snippet injection
364,8,Re-entrancy,code snippet injection
351,9,Re-entrancy,code snippet injection
307,7,Re-entrancy,code snippet injection
294,5,Re-entrancy,code snippet injection
278,8,Re-entrancy,code snippet injection
260,9,Re-entrancy,code snippet injection
248,7,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
224,5,Re-entrancy,code snippet injection
211,8,Re-entrancy,code snippet injection
199,8,Re-entrancy,code snippet injection
184,10,Re-entrancy,code snippet injection
173,7,Re-entrancy,code snippet injection
54,8,Re-entrancy,code snippet injection
42,8,Re-entrancy,code snippet injection
583,5,Re-entrancy,code snippet injection
574,8,Re-entrancy,code snippet injection
563,10,Re-entrancy,code snippet injection
554,8,Re-entrancy,code snippet injection
545,8,Re-entrancy,code snippet injection
536,8,Re-entrancy,code snippet injection
526,8,Re-entrancy,code snippet injection
517,8,Re-entrancy,code snippet injection
336,8,Re-entrancy,code snippet injection
326,9,Re-entrancy,code snippet injection
317,8,Re-entrancy,code snippet injection
162,6,Re-entrancy,code snippet injection
154,6,Re-entrancy,code snippet injection
144,8,Re-entrancy,code snippet injection
