loc,length,bug type,approach
925,8,Re-entrancy,code snippet injection
909,8,Re-entrancy,code snippet injection
847,9,Re-entrancy,code snippet injection
834,8,Re-entrancy,code snippet injection
813,8,Re-entrancy,code snippet injection
790,6,Re-entrancy,code snippet injection
776,8,Re-entrancy,code snippet injection
720,7,Re-entrancy,code snippet injection
703,9,Re-entrancy,code snippet injection
688,10,Re-entrancy,code snippet injection
675,8,Re-entrancy,code snippet injection
661,9,Re-entrancy,code snippet injection
647,7,Re-entrancy,code snippet injection
637,5,Re-entrancy,code snippet injection
624,8,Re-entrancy,code snippet injection
544,9,Re-entrancy,code snippet injection
533,7,Re-entrancy,code snippet injection
519,8,Re-entrancy,code snippet injection
482,5,Re-entrancy,code snippet injection
471,8,Re-entrancy,code snippet injection
457,8,Re-entrancy,code snippet injection
431,10,Re-entrancy,code snippet injection
411,7,Re-entrancy,code snippet injection
396,8,Re-entrancy,code snippet injection
377,8,Re-entrancy,code snippet injection
358,5,Re-entrancy,code snippet injection
341,8,Re-entrancy,code snippet injection
311,10,Re-entrancy,code snippet injection
276,8,Re-entrancy,code snippet injection
260,8,Re-entrancy,code snippet injection
48,8,Re-entrancy,code snippet injection
35,8,Re-entrancy,code snippet injection
22,8,Re-entrancy,code snippet injection
594,8,Re-entrancy,code snippet injection
584,9,Re-entrancy,code snippet injection
564,8,Re-entrancy,code snippet injection
557,6,Re-entrancy,code snippet injection
245,6,Re-entrancy,code snippet injection
229,8,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
207,8,Re-entrancy,code snippet injection
198,8,Re-entrancy,code snippet injection
