loc,length,bug type,approach
815,8,Re-entrancy,code snippet injection
1244,8,Re-entrancy,code snippet injection
1213,9,Re-entrancy,code snippet injection
1182,8,Re-entrancy,code snippet injection
1123,8,Re-entrancy,code snippet injection
1090,6,Re-entrancy,code snippet injection
1071,8,Re-entrancy,code snippet injection
1061,7,Re-entrancy,code snippet injection
923,9,Re-entrancy,code snippet injection
903,10,Re-entrancy,code snippet injection
887,8,Re-entrancy,code snippet injection
867,9,Re-entrancy,code snippet injection
845,7,Re-entrancy,code snippet injection
833,5,Re-entrancy,code snippet injection
787,8,Re-entrancy,code snippet injection
741,9,Re-entrancy,code snippet injection
680,7,Re-entrancy,code snippet injection
643,8,Re-entrancy,code snippet injection
612,5,Re-entrancy,code snippet injection
565,8,Re-entrancy,code snippet injection
508,8,Re-entrancy,code snippet injection
489,10,Re-entrancy,code snippet injection
472,7,Re-entrancy,code snippet injection
454,8,Re-entrancy,code snippet injection
434,8,Re-entrancy,code snippet injection
411,5,Re-entrancy,code snippet injection
1027,8,Re-entrancy,code snippet injection
1016,10,Re-entrancy,code snippet injection
1007,8,Re-entrancy,code snippet injection
805,8,Re-entrancy,code snippet injection
