loc,length,bug type,approach
1033,8,Re-entrancy,code snippet injection
1022,8,Re-entrancy,code snippet injection
1012,9,Re-entrancy,code snippet injection
1003,8,Re-entrancy,code snippet injection
994,8,Re-entrancy,code snippet injection
987,6,Re-entrancy,code snippet injection
978,8,Re-entrancy,code snippet injection
460,7,Re-entrancy,code snippet injection
1292,9,Re-entrancy,code snippet injection
1276,10,Re-entrancy,code snippet injection
1260,8,Re-entrancy,code snippet injection
1243,9,Re-entrancy,code snippet injection
1216,7,Re-entrancy,code snippet injection
1194,5,Re-entrancy,code snippet injection
1166,8,Re-entrancy,code snippet injection
1152,9,Re-entrancy,code snippet injection
1139,7,Re-entrancy,code snippet injection
1122,8,Re-entrancy,code snippet injection
1109,5,Re-entrancy,code snippet injection
1087,8,Re-entrancy,code snippet injection
1075,8,Re-entrancy,code snippet injection
937,10,Re-entrancy,code snippet injection
923,7,Re-entrancy,code snippet injection
909,8,Re-entrancy,code snippet injection
895,8,Re-entrancy,code snippet injection
886,5,Re-entrancy,code snippet injection
849,8,Re-entrancy,code snippet injection
827,10,Re-entrancy,code snippet injection
817,8,Re-entrancy,code snippet injection
568,8,Re-entrancy,code snippet injection
551,8,Re-entrancy,code snippet injection
535,8,Re-entrancy,code snippet injection
515,8,Re-entrancy,code snippet injection
492,8,Re-entrancy,code snippet injection
476,9,Re-entrancy,code snippet injection
434,8,Re-entrancy,code snippet injection
423,6,Re-entrancy,code snippet injection
412,6,Re-entrancy,code snippet injection
119,8,Re-entrancy,code snippet injection
96,8,Re-entrancy,code snippet injection
77,8,Re-entrancy,code snippet injection
65,8,Re-entrancy,code snippet injection
