loc,length,bug type,approach
261,8,Re-entrancy,code snippet injection
102,8,Re-entrancy,code snippet injection
30,9,Re-entrancy,code snippet injection
445,8,Re-entrancy,code snippet injection
433,8,Re-entrancy,code snippet injection
384,6,Re-entrancy,code snippet injection
363,8,Re-entrancy,code snippet injection
348,7,Re-entrancy,code snippet injection
334,9,Re-entrancy,code snippet injection
316,10,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
251,9,Re-entrancy,code snippet injection
243,7,Re-entrancy,code snippet injection
232,5,Re-entrancy,code snippet injection
219,8,Re-entrancy,code snippet injection
195,9,Re-entrancy,code snippet injection
155,7,Re-entrancy,code snippet injection
138,8,Re-entrancy,code snippet injection
118,5,Re-entrancy,code snippet injection
30,8,Re-entrancy,code snippet injection
21,8,Re-entrancy,code snippet injection
10,10,Re-entrancy,code snippet injection
419,7,Re-entrancy,code snippet injection
410,8,Re-entrancy,code snippet injection
401,8,Re-entrancy,code snippet injection
395,5,Re-entrancy,code snippet injection
286,8,Re-entrancy,code snippet injection
177,10,Re-entrancy,code snippet injection
168,8,Re-entrancy,code snippet injection
92,8,Re-entrancy,code snippet injection
