loc,length,bug type,approach
941,8,Re-entrancy,code snippet injection
932,8,Re-entrancy,code snippet injection
921,9,Re-entrancy,code snippet injection
912,8,Re-entrancy,code snippet injection
903,8,Re-entrancy,code snippet injection
331,6,Re-entrancy,code snippet injection
322,8,Re-entrancy,code snippet injection
314,7,Re-entrancy,code snippet injection
278,9,Re-entrancy,code snippet injection
124,10,Re-entrancy,code snippet injection
1058,8,Re-entrancy,code snippet injection
1023,9,Re-entrancy,code snippet injection
1009,7,Re-entrancy,code snippet injection
994,5,Re-entrancy,code snippet injection
974,8,Re-entrancy,code snippet injection
881,9,Re-entrancy,code snippet injection
835,7,Re-entrancy,code snippet injection
823,8,Re-entrancy,code snippet injection
797,5,Re-entrancy,code snippet injection
784,8,Re-entrancy,code snippet injection
769,8,Re-entrancy,code snippet injection
755,10,Re-entrancy,code snippet injection
742,7,Re-entrancy,code snippet injection
729,8,Re-entrancy,code snippet injection
714,8,Re-entrancy,code snippet injection
705,5,Re-entrancy,code snippet injection
689,8,Re-entrancy,code snippet injection
669,10,Re-entrancy,code snippet injection
656,8,Re-entrancy,code snippet injection
643,8,Re-entrancy,code snippet injection
628,8,Re-entrancy,code snippet injection
615,8,Re-entrancy,code snippet injection
600,8,Re-entrancy,code snippet injection
586,8,Re-entrancy,code snippet injection
570,9,Re-entrancy,code snippet injection
558,8,Re-entrancy,code snippet injection
492,6,Re-entrancy,code snippet injection
472,6,Re-entrancy,code snippet injection
447,8,Re-entrancy,code snippet injection
431,8,Re-entrancy,code snippet injection
418,8,Re-entrancy,code snippet injection
403,8,Re-entrancy,code snippet injection
