loc,length,bug type,approach
1048,8,Re-entrancy,code snippet injection
985,8,Re-entrancy,code snippet injection
263,9,Re-entrancy,code snippet injection
254,8,Re-entrancy,code snippet injection
245,8,Re-entrancy,code snippet injection
1155,6,Re-entrancy,code snippet injection
1136,8,Re-entrancy,code snippet injection
1124,7,Re-entrancy,code snippet injection
1096,9,Re-entrancy,code snippet injection
1077,10,Re-entrancy,code snippet injection
1034,8,Re-entrancy,code snippet injection
1014,9,Re-entrancy,code snippet injection
909,7,Re-entrancy,code snippet injection
885,5,Re-entrancy,code snippet injection
867,8,Re-entrancy,code snippet injection
817,9,Re-entrancy,code snippet injection
789,7,Re-entrancy,code snippet injection
772,8,Re-entrancy,code snippet injection
749,5,Re-entrancy,code snippet injection
725,8,Re-entrancy,code snippet injection
701,8,Re-entrancy,code snippet injection
677,10,Re-entrancy,code snippet injection
657,7,Re-entrancy,code snippet injection
639,8,Re-entrancy,code snippet injection
614,8,Re-entrancy,code snippet injection
592,5,Re-entrancy,code snippet injection
569,8,Re-entrancy,code snippet injection
544,10,Re-entrancy,code snippet injection
526,8,Re-entrancy,code snippet injection
505,8,Re-entrancy,code snippet injection
485,8,Re-entrancy,code snippet injection
457,8,Re-entrancy,code snippet injection
437,8,Re-entrancy,code snippet injection
418,8,Re-entrancy,code snippet injection
366,9,Re-entrancy,code snippet injection
355,8,Re-entrancy,code snippet injection
348,6,Re-entrancy,code snippet injection
340,6,Re-entrancy,code snippet injection
331,8,Re-entrancy,code snippet injection
322,8,Re-entrancy,code snippet injection
305,8,Re-entrancy,code snippet injection
283,8,Re-entrancy,code snippet injection
