loc,length,bug type,approach
100,8,Re-entrancy,code snippet injection
1226,8,Re-entrancy,code snippet injection
1212,9,Re-entrancy,code snippet injection
1196,8,Re-entrancy,code snippet injection
1170,8,Re-entrancy,code snippet injection
1161,6,Re-entrancy,code snippet injection
1150,8,Re-entrancy,code snippet injection
1140,7,Re-entrancy,code snippet injection
1128,9,Re-entrancy,code snippet injection
1115,10,Re-entrancy,code snippet injection
1103,8,Re-entrancy,code snippet injection
1076,9,Re-entrancy,code snippet injection
1017,7,Re-entrancy,code snippet injection
1003,5,Re-entrancy,code snippet injection
986,8,Re-entrancy,code snippet injection
949,9,Re-entrancy,code snippet injection
920,7,Re-entrancy,code snippet injection
909,8,Re-entrancy,code snippet injection
901,5,Re-entrancy,code snippet injection
890,8,Re-entrancy,code snippet injection
875,8,Re-entrancy,code snippet injection
862,10,Re-entrancy,code snippet injection
847,7,Re-entrancy,code snippet injection
836,8,Re-entrancy,code snippet injection
824,8,Re-entrancy,code snippet injection
816,5,Re-entrancy,code snippet injection
804,8,Re-entrancy,code snippet injection
787,10,Re-entrancy,code snippet injection
776,8,Re-entrancy,code snippet injection
764,8,Re-entrancy,code snippet injection
727,8,Re-entrancy,code snippet injection
671,8,Re-entrancy,code snippet injection
652,8,Re-entrancy,code snippet injection
629,8,Re-entrancy,code snippet injection
609,9,Re-entrancy,code snippet injection
595,8,Re-entrancy,code snippet injection
556,6,Re-entrancy,code snippet injection
546,6,Re-entrancy,code snippet injection
534,8,Re-entrancy,code snippet injection
521,8,Re-entrancy,code snippet injection
510,8,Re-entrancy,code snippet injection
437,8,Re-entrancy,code snippet injection
